"DATE,""TIME PERIOD"",""Euribor 1-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR1MD_.HSTA)"""
"2015-09-30,""2015Sep"",""-0.1052"""
"2015-10-31,""2015Oct"",""-0.1156"""
"2015-11-30,""2015Nov"",""-0.1403"""
"2015-12-31,""2015Dec"",""-0.1895"""
"2016-01-31,""2016Jan"",""-0.2226"""
"2016-02-29,""2016Feb"",""-0.2460"""
"2016-03-31,""2016Mar"",""-0.3076"""
"2016-04-30,""2016Apr"",""-0.3412"""
"2016-05-31,""2016May"",""-0.3480"""
"2016-06-30,""2016Jun"",""-0.3559"""
"2016-07-31,""2016Jul"",""-0.3688"""
"2016-08-31,""2016Aug"",""-0.3697"""
"2016-09-30,""2016Sep"",""-0.3714"""
"2016-10-31,""2016Oct"",""-0.3714"""
"2016-11-30,""2016Nov"",""-0.3728"""
"2016-12-31,""2016Dec"",""-0.3704"""
"2017-01-31,""2017Jan"",""-0.3713"""
"2017-02-28,""2017Feb"",""-0.3718"""
"2017-03-31,""2017Mar"",""-0.3724"""
"2017-04-30,""2017Apr"",""-0.3724"""
"2017-05-31,""2017May"",""-0.3732"""
"2017-06-30,""2017Jun"",""-0.3728"""
"2017-07-31,""2017Jul"",""-0.3728"""
"2017-08-31,""2017Aug"",""-0.3720"""
"2017-09-30,""2017Sep"",""-0.3721"""
"2017-10-31,""2017Oct"",""-0.3723"""
"2017-11-30,""2017Nov"",""-0.3716"""
"2017-12-31,""2017Dec"",""-0.3687"""
"2018-01-31,""2018Jan"",""-0.3688"""
"2018-02-28,""2018Feb"",""-0.3696"""
"2018-03-31,""2018Mar"",""-0.3706"""
"2018-04-30,""2018Apr"",""-0.3717"""
"2018-05-31,""2018May"",""-0.3708"""
"2018-06-30,""2018Jun"",""-0.3703"""
"2018-07-31,""2018Jul"",""-0.3697"""
"2018-08-31,""2018Aug"",""-0.3696"""
"2018-09-30,""2018Sep"",""-0.3710"""
"2018-10-31,""2018Oct"",""-0.3697"""
"2018-11-30,""2018Nov"",""-0.3688"""
"2018-12-31,""2018Dec"",""-0.3671"""
"2019-01-31,""2019Jan"",""-0.3664"""
"2019-02-28,""2019Feb"",""-0.3677"""
"2019-03-31,""2019Mar"",""-0.3675"""
"2019-04-30,""2019Apr"",""-0.3673"""
"2019-05-31,""2019May"",""-0.3690"""
"2019-06-30,""2019Jun"",""-0.3848"""
"2019-07-31,""2019Jul"",""-0.3951"""
"2019-08-31,""2019Aug"",""-0.4096"""
"2019-09-30,""2019Sep"",""-0.4482"""
"2019-10-31,""2019Oct"",""-0.4555"""
"2019-11-30,""2019Nov"",""-0.4500"""
"2019-12-31,""2019Dec"",""-0.4529"""
"2020-01-31,""2020Jan"",""-0.4569"""
"2020-02-29,""2020Feb"",""-0.4731"""
"2020-03-31,""2020Mar"",""-0.4777"""
"2020-04-30,""2020Apr"",""-0.4281"""
"2020-05-31,""2020May"",""-0.4643"""
"2020-06-30,""2020Jun"",""-0.4929"""
"2020-07-31,""2020Jul"",""-0.5088"""
"2020-08-31,""2020Aug"",""-0.5173"""
"2020-09-30,""2020Sep"",""-0.5217"""
"2020-10-31,""2020Oct"",""-0.5385"""
"2020-11-30,""2020Nov"",""-0.5414"""
"2020-12-31,""2020Dec"",""-0.5607"""
