Date,Open,High,Low,Close,Volume
2015-09-30,62.3558,68.987,61.3312,68.3134,23299778
2015-10-31,69.1198,79.2041,67.1845,77.3637,26028993
2015-11-30,76.8419,86.8883,75.5328,86.8883,26839558
2015-12-31,87.2773,89.6489,81.3671,85.2946,19901232
2016-01-31,83.5965,90.3225,77.876,90.1043,28420706
2016-02-29,90.1233,95.4832,80.4184,93.4057,24631548
2016-03-31,93.5195,99.3728,90.2846,97.7126,17560902
2016-04-30,97.0485,112.227,95.2935,106.819,16556447
2016-05-31,106.582,111.86,104.788,110.802,15890066
2016-06-30,110.176,123.648,103.585,123.6,19206047
2016-07-31,123.696,142.363,119.606,141.209,17030700
2016-08-31,142.46,151.505,136.494,143.326,16048485
2016-09-30,143.181,151.457,136.686,148.666,26276178
2016-10-31,148.57,154.247,141.738,143.759,13579325
2016-11-30,144.336,145.01,124.706,133.751,19881380
2016-12-31,133.463,144.48,131.586,144.48,11775268
2017-01-31,144.095,150.446,137.552,140.15,13228384
2017-02-28,140.631,152.852,137.215,152.419,11536332
2017-03-31,151.457,178.063,151.408,171.567,18537932
2017-04-30,172.145,179.939,167.382,176.956,9733805
2017-05-31,177.485,181.815,163.191,165.673,14165986
2017-06-30,166.159,173.847,159.055,163.24,14626910
2017-07-31,163.97,188.541,163.288,187.811,14970225
2017-08-31,188.687,196.666,176.523,183.481,13301694
2017-09-30,184.356,193.893,180.221,186.254,12003275
2017-10-31,188.589,191.703,180.853,185.913,10118106
2017-11-30,185.913,186.74,170.392,170.489,18174736
2017-12-31,171.073,177.35,160.612,162.656,14570634
2018-01-31,162.656,183.383,160.807,182.264,20379284
2018-02-28,182.751,183.14,166.402,177.69,17616452
2018-03-31,176.815,194.915,163.726,191.363,24559440
2018-04-30,189.757,209.706,187.86,198.418,15047980
2018-05-31,197.542,202.213,184.295,191.004,19811207
2018-06-30,191.99,201.067,180.694,184.443,18383277
2018-07-31,182.075,189.277,178.079,186.613,13352706
2018-08-31,186.909,215.077,181.483,212.018,16379309
2018-09-30,211.229,214.287,201.067,208.072,11905902
2018-10-31,207.874,212.314,186.959,205.211,17720738
2018-11-30,205.112,206.296,190.609,192.188,16451141
2018-12-31,195.345,198.403,175.761,179.954,15245037
2019-01-31,180.595,205.605,178.918,204.915,14372297
2019-02-28,202.054,211.623,192.188,210.736,13484306
2019-03-31,211.623,216.852,194.605,213.695,17936199
2019-04-30,215.323,229.382,213.695,226.028,11850985
2019-05-31,224.942,265.05,222.131,256.2,17682353
2019-06-30,254.75,275.6,254.3,271.5,12237397
2019-07-31,274,290.25,270.95,289.55,11241700
2019-08-31,289.2,296.75,253.2,269.7,15545761
2019-09-30,268.4,286.3,266.35,285.65,10967536
2019-10-31,288,289.05,265.65,276.85,11724291
2019-11-30,278,287.35,264.15,282.75,12894993
2019-12-31,284,294.95,268.75,289.8,10627359
2020-01-31,289.2,317.45,285.15,285.8,12112200
2020-02-29,285.75,294.65,243.5,250.55,17468853
2020-03-31,253.05,258.05,162.2,205.9,44572163
2020-04-30,199.4,229,188,209.2,20390573
2020-05-31,203,239.9,189.4,237.2,18776007
2020-06-30,241.3,265.6,222.5,233.6,19730366
2020-07-31,229.9,249.5,229.2,233.9,12034462
2020-08-31,234.8,270.9,233.1,254.6,11676248
2020-09-30,255,290,250.2,276.1,12889933
2020-10-31,279.4,286.7,253.5,255,9694795
2020-11-30,256.5,306.7,253.5,267.3,14677393
2020-12-31,271,302.7,267.8,297.9,10023637
2021-01-31,300,300.5,259.4,262,10623241
2021-02-28,264.5,297.9,264,288.9,9054666
2021-03-31,293.5,306.8,259.4,266.2,17026670
2021-04-30,267.8,284.2,256.6,256.85,11461093
2021-05-31,259,304.4,252.05,298.35,12988853
2021-06-30,300.8,320.5,284.95,313.9,10176033
2021-07-31,315.25,324.1,301.4,306.1,8250816
2021-08-31,309.3,336.25,297.4,300.45,10155594
