Date,Open,High,Low,Close,Volume
2015-09-30,52.9224,54.0929,47.6366,49.1787,6780589
2015-10-31,50.0612,59.9081,49.3924,58.8398,5725555
2015-11-30,58.0316,63.6332,57.6415,63.5589,5334989
2015-12-31,63.4474,63.6332,56.7125,58.2917,4703379
2016-01-31,56.8054,57.8272,49.9311,53.5634,5184415
2016-02-29,53.6098,55.6442,46.3407,55.5699,5378171
2016-03-31,55.2633,58.8955,53.4612,54.2786,4082215
2016-04-30,53.1175,55.2633,50.5721,50.7208,4094610
2016-05-31,51.1014,53.7469,49.8929,53.6041,2666657
2016-06-30,53.4043,53.6232,47.1332,49.2172,4564143
2016-07-31,49.4932,52.0245,45.7534,50.1593,3166955
2016-08-31,50.5114,50.8159,47.1522,49.7691,2436388
2016-09-30,49.8643,53.2996,49.1125,51.3869,2575518
2016-10-31,51.0443,53.1664,49.2648,51.5772,2003653
2016-11-30,51.9578,57.7912,48.5321,57.3249,3625887
2016-12-31,57.2203,61.7689,55.3456,59.6754,3883117
2017-01-31,59.3804,63.0917,59.3804,59.7896,2633652
2017-02-28,59.7325,66.3652,59.1044,65.8514,2655197
2017-03-31,66.6126,68.611,64.9473,67.8688,2668684
2017-04-30,68.0305,73.4718,67.136,71.9296,2505313
2017-05-31,72.3079,73.7822,69.563,70.7948,1777180
2017-06-30,71.1537,74.9267,69.3787,69.7958,2033835
2017-07-31,70.4748,73.0354,68.2342,68.5543,2010875
2017-08-31,69.2138,71.7454,66.3429,68.5349,1902941
2017-09-30,69.7861,78.1954,67.4195,77.9335,2234187
2017-10-31,77.8753,85.5474,73.8889,82.2497,2563394
2017-11-30,85.14,85.7802,79.7763,84.6066,1991552
2017-12-31,84.5581,86.5852,80.8239,81.1536,2298439
2018-01-31,80.7851,90.9402,79.786,89.7569,2225687
2018-02-28,89.7763,96.9634,75.4602,95.3533,2979718
2018-03-31,95.1788,95.7704,89.0682,90.8723,2818234
2018-04-30,90.1254,96.864,87.5842,95.9667,1928304
2018-05-31,95.5821,99.6744,94.103,96.016,1637138
2018-06-30,97.0218,104.94,93.2352,98.6489,1891146
2018-07-31,95.7202,109.574,95.6906,104.585,1568439
2018-08-31,104.565,109.318,103.539,104.802,1066518
2018-09-30,104.644,107.622,101.666,106.794,1410101
2018-10-31,107.109,107.109,90.5925,96.3907,2711854
2018-11-30,96.4302,97.3374,88.6696,93.2253,1629559
2018-12-31,95.3553,95.6413,77.8521,82.3487,2335091
2019-01-31,82.7333,99.0433,77.8324,98.8066,1753425
2019-02-28,99.6547,112.414,98.0276,111.961,1571414
2019-03-31,113.164,117.601,109.002,116.201,2061701
2019-04-30,117.443,123.78,114.939,121.94,1229073
2019-05-31,121.6,122.76,112.6,114.72,1439685
2019-06-30,113.62,126.48,112.96,124.78,1595326
2019-07-31,125.3,133.82,122.94,128.18,1192513
2019-08-31,128.2,129.84,120,125.3,1358087
2019-09-30,126.1,128.68,117.62,119.2,1278149
2019-10-31,120.3,130.62,114.4,128.52,1511218
2019-11-30,129.34,137.42,128.16,133.46,1447299
2019-12-31,133.64,134.88,122.52,132.14,1724878
2020-01-31,132.58,139.4,130.56,133.16,2437031
2020-02-29,133.54,138.92,105.64,108.02,4577074
2020-03-31,109.24,114.44,47.7,59.55,16179411
2020-04-30,58.59,65.26,49.59,57.86,8514329
2020-05-31,55.5,64.23,48.24,56.77,6617311
2020-06-30,60.32,85,59.93,63.58,13234551
2020-07-31,62.3,70.75,60.86,62.09,4193686
2020-08-31,62.46,76.12,60.76,69,3639383
2020-09-30,69.5,75.25,57.87,62.12,4562856
2020-10-31,63.21,69.68,59.29,62.54,4406726
2020-11-30,63.01,94.91,61.81,87.8,4721328
2020-12-31,88.26,97.02,82.8,91.32,4361063
2021-01-31,92.53,94.56,81.9,83.21,4733785
2021-02-28,84.1,103.98,82.5,95.86,4044516
2021-03-31,98.32,103.08,93.13,96.42,3367701
2021-04-30,96.94,104.56,95.96,99.88,2412194
2021-05-31,100.16,109.68,93.21,106.58,2169568
2021-06-30,106.88,116,104.92,108.4,1906739
2021-07-31,109.5,120.92,103.16,115.72,2365046
2021-08-31,117.02,117.82,108.26,115.56,1890433
2021-09-30,116.38,118.86,108.74,114.92,10591016
2021-10-31,113.4,116.94,107.18,110.56,5890497
2021-11-30,110.96,117.6,96.64,98.77,9990191
2021-12-31,100.72,113.96,98.03,111.72,8704041
2022-01-31,113.82,121.06,106.24,112.2,9308419
2022-02-28,113,120.34,105.72,115.16,13035276
2022-03-31,114.6,115.22,90.32,110.24,18043759
2022-04-30,109.9,111.92,100.54,105.5,8747069
2022-05-31,104.6,113.14,102.66,108.74,8945018
2022-06-30,109.56,111.96,90.14,92.44,9166130
2022-07-31,92.19,107.32,88.92,104.98,8531652
2022-08-31,104.38,111.02,97.81,97.87,6135739
2022-09-30,96.8,100.82,86.83,88.9,8477099
2022-10-31,88.15,110,86.53,109.56,6832675
2022-11-30,110.48,115.62,107.22,109.28,10945927
2022-12-31,110.04,114.28,107.04,111.38,6161681
2023-01-31,112.16,122,111.7,114.82,6687801
2023-02-28,115,126,112.02,123.94,7602676
2023-03-31,124.3,125.48,114.08,123.36,7872957
2023-04-30,123.2,129.7,122.64,127.16,4846830
2023-05-31,126.7,131.24,120.08,122.54,5932380
2023-06-30,124.18,133.98,124.1,132.38,4806364
2023-07-31,132.9,138.72,128.9,134.02,5684794
2023-08-31,134.54,136.22,125.28,135.4,5052082
2023-09-30,134.72,137.18,121.94,126.98,4975606
2023-10-31,126.92,128.46,120.24,126.26,5821317
2023-11-30,126.68,136.8,126,136.22,6173281
2023-12-31,136.98,143.98,135.26,140.08,7104077
2024-01-31,140.5,151.3,136.6,147.8,6092487
2024-02-29,147.34,154.06,143.6,153.02,5964970
2024-03-31,154.16,172.82,152.24,170.76,6327506
2024-04-30,170.76,171.16,153.74,154.64,7538947
2024-05-31,154,163.34,153.12,155.9,5381605
2024-06-30,157.3,157.72,127.58,128.26,8300116
2024-07-31,131.22,142.16,126.62,140.02,6740507
2024-08-31,138.7,142.54,128.4,138.82,5598033
2024-09-30,139.12,139.28,128.34,131.16,5436649
2024-10-31,131.66,144.64,124.74,140.08,6614550
2024-11-30,139.44,147.72,135.1,147.6,5223612
2024-12-31,147,161,146.9,154.46,5069110
2025-01-31,155.88,169.06,154.34,167.42,5977119
2025-02-28,163.78,173.82,159.8,165.68,6403318
2025-03-31,168.66,177.36,161.58,162.82,9736889
2025-04-30,163.58,167.98,129.82,147.1,14799570
2025-05-31,152.74,165.72,151.24,162.02,6853070
2025-06-30,161.9,178.74,159.14,177.22,6551448
2025-07-31,177.74,186.94,171.98,176.059,5315646
2025-08-31,174.96,186.86,167.46,179.14,4725137
2025-09-30,179.539,198.34,178.94,195.1,3072724
