Date,Open,High,Low,Close,Volume
2020-12-31,200.5,204.3,189.84,200.7,8877200
2021-01-31,202.55,208.35,185.46,186.52,22469470
2021-02-28,188.5,203.75,187.8,199.8,19987348
2021-03-31,201.65,219.65,200.95,217.05,25115682
2021-04-30,217.1,221.1,214.7,216.4,16793457
2021-05-31,217.5,221.5,208.1,215.45,18345828
2021-06-30,216.1,223.5,208.75,210.3,18964568
2021-07-31,212.6,214.3,200.05,210,16812535
2021-08-31,202,205.3,189,198.98,23981657
2021-09-30,199.7,202.45,182.52,194.84,23994816
2021-10-31,193.3,202.7,191.42,201.15,16160297
2021-11-30,201.45,207.8,189.7,192.44,19415388
2021-12-31,194.02,209.75,193.72,207.65,16801256
2022-01-31,208.05,230.05,207.95,227.35,21788193
2022-02-28,228.1,232.5,197.2,203.3,30115606
2022-03-31,202.6,220.45,178.3,216.55,42219266
2022-04-30,217.5,224.55,210.2,216.2,21542422
2022-05-31,215.2,217.45,191.18,195.02,28897400
2022-06-30,196.42,199.1,179,182.12,25145069
2022-07-31,179.42,184.36,168.2,177.32,19953701
2022-08-31,177.54,182.04,167.6,168.58,18293048
2022-09-30,167.98,178.3,156.22,161.8,24129204
2022-10-31,159.22,183.94,158.3,182.2,16776437
2022-11-30,183.92,206.85,183.46,204.35,23027319
2022-12-31,204.7,206.35,197.3,200.9,17642401
2023-01-31,201.5,222.7,200.7,219.2,19928012
2023-02-28,219.4,224.25,213.1,222.15,22306151
2023-03-31,223.05,224.35,192.48,212.8,30312007
2023-04-30,213.4,227.45,212.35,227.45,14295785
2023-05-31,227.75,228.4,198.6,199.98,23890943
2023-06-30,201.55,214.55,200.65,213.2,16978021
2023-07-31,213.75,220.1,202.35,217.4,16863517
2023-08-31,217.4,226.85,210.35,224.35,17806147
2023-09-30,225.3,234.55,218.85,225.7,18275120
2023-10-31,226.15,228.6,215.75,220.9,16387008
2023-11-30,221.7,234.05,217.15,230.6,17517705
2023-12-31,232,246.25,231.75,241.95,15286366
2024-01-31,242.9,250.4,239.2,247.8,14472675
2024-02-29,247.2,256.05,241.15,253.85,16704516
2024-03-31,254.55,278.5,250.95,277.8,16136970
2024-04-30,278.2,280,258.6,266.6,16853780
2024-05-31,269,275.4,259.6,268.3,16401190
2024-06-30,269,271.2,251.8,259.5,15108413
2024-07-31,262.4,267.1,256.3,260.8,10577996
2024-08-31,259.7,281.9,238.3,280.9,13577093
2024-09-30,280.9,297.3,277,295,12609731
2024-10-31,295.7,304.3,282.2,289.4,12472288
2024-11-30,289.6,298,281.8,292.2,12683683
2024-12-31,291.3,304.7,290.7,295.9,12680021
2025-01-31,297.1,316.5,291.9,314.4,12931637
2025-02-28,310.5,334.7,308.9,330.3,13981327
2025-03-31,330.9,359,328.2,352.1,19789988
2025-04-30,351.3,366.5,286.6,364.1,26999448
2025-05-31,368.7,378.5,338.1,348.7,19655703
2025-06-30,347.6,355.9,333.2,344.1,14405299
2025-07-31,346,359.1,338.9,347.2,12077469
2025-08-31,341,380.3,334.1,361.2,11889464
2025-09-30,361.8,362.3,343.2,347.8,7412500
