Date,Open,High,Low,Close,Volume
2015-09-30,52.2749,54.0286,48.5735,50.9839,75313387
2015-10-31,51.4914,57.9017,49.0064,55.6182,77035283
2015-11-30,55.1107,59.1032,54.5137,58.4614,52385422
2015-12-31,58.342,58.4315,50.5511,52.7749,67482356
2016-01-31,51.7227,51.7227,44.0289,45.596,87956441
2016-02-29,46.0064,46.0064,41.7976,44.9094,78212158
2016-03-31,44.999,51.0063,44.8721,49.4765,71511994
2016-04-30,48.8422,55.6256,45.9542,53.8421,68845349
2016-05-31,54.1375,55.125,51.1908,53.982,55300986
2016-06-30,54.0365,56.4389,48.9827,53.3678,72243857
2016-07-31,53.8732,56.4078,50.9031,54.6274,49940744
2016-08-31,54.814,57.2164,53.1967,56.68,41561049
2016-09-30,56.8277,59.3546,54.4952,59.1758,53083504
2016-10-31,58.7403,62.8922,58.6781,62.4335,46862049
2016-11-30,62.8145,63.8641,59.479,62.97,50559487
2016-12-31,63.0633,68.6613,62.1847,68.6613,51278589
2017-01-31,68.0315,71.1804,67.5728,69.2911,41793432
2017-02-28,69.431,70.6362,66.9897,68.3425,41371212
2017-03-31,68.8012,72.5099,67.9849,72.2456,49717895
2017-04-30,72.5022,73.3341,68.4358,69.5554,39452353
2017-05-31,69.8587,71.1777,66.9061,67.4451,53273764
2017-06-30,67.5014,70.7755,65.1846,65.2328,51115697
2017-07-31,66.0131,67.7186,63.5274,64.8306,48297824
2017-08-31,64.9271,66.8015,63.7446,65.4581,42535616
2017-09-30,65.804,72.4327,65.5305,72.4327,42705602
2017-10-31,72.5614,75.924,70.8801,75.3126,38625499
2017-11-30,76.0929,78.7556,73.4463,75.6183,45047410
2017-12-31,75.7229,76.9537,73.7278,73.8002,36799311
2018-01-31,73.6554,79.4796,72.859,75.8757,53863101
2018-02-28,76.286,76.6399,67.3807,69.5125,59616981
2018-03-31,69.5045,69.601,64.4847,66.343,64652338
2018-04-30,65.8201,70.3894,64.6456,69.4401,47889210
2018-05-31,69.3838,75.0961,68.7161,70.2827,61019421
2018-06-30,70.8166,74.1618,66.5621,68.3306,59738035
2018-07-31,67.4046,70.8333,67.1544,68.5392,46269917
2018-08-31,68.4057,69.2316,63.6089,66.4787,51048560
2018-09-30,66.2451,68.2138,63,63.8592,54664044
2018-10-31,63.9343,64.4932,53.6651,56.7517,75714456
2018-11-30,56.7267,59.1542,53.1145,53.6985,68932455
2018-12-31,55.6422,56.0426,47.8423,50.3866,75141042
2019-01-31,50.47,55.5754,49.6191,53.2396,61563320
2019-02-28,53.3481,56.71,51.9549,55.8841,54992859
2019-03-31,56.2845,57.4274,53.8736,54.6661,56514185
2019-04-30,55.5588,62.2408,55.2334,60.4723,57611028
2019-05-31,60.6642,61.123,50.9646,51.5317,78994253
2019-06-30,51.331,55.9729,51.0431,55.7722,61905367
2019-07-31,56.7146,57.0287,51.0867,52.8143,67511054
2019-08-31,52.5264,53.1459,48.5477,52.509,67548322
2019-09-30,52.4392,58.669,51.4881,55.9467,58069354
2019-10-31,56.2609,62.0894,53.0325,59.5329,65140787
2019-11-30,59.8208,62.9706,59.1926,59.5241,50069199
2019-12-31,59.5503,60.9027,57.6569,58.765,48211638
2020-01-31,58.669,59.7597,53.0848,53.2855,58543069
2020-02-29,53.4164,56.2085,45.6858,46.314,80863422
2020-03-31,47.1167,48.4255,32.5934,37.6454,199747494
2020-04-30,36.3846,43.6266,35.2634,40.7341,104306819
2020-05-31,42.5415,47.6961,38.6263,45.6728,89421004
2020-06-30,47.0576,54.8317,46.4004,49.88,113222079
2020-07-31,49.75,54.24,46.79,46.81,72939906
2020-08-31,46.985,52.65,46.59,51.06,48611704
2020-09-30,51.45,55.84,49.045,51.98,66743724
2020-10-31,52.15,57.92,45.915,47.07,68606649
2020-11-30,47.58,62.67,46.82,61.33,79600129
2020-12-31,61.7,65.93,59.88,64.72,64874704
2021-01-31,65.48,69.24,62.56,63.83,62333280
2021-02-28,64.56,69.67,64.14,67.73,43594700
2021-03-31,68.5,72.84,68.22,70.84,67550300
2021-04-30,71.14,72.88,67.08,67.08,56512906
2021-05-31,67.57,71.05,66.27,66.66,48705411
2021-06-30,66.99,69.25,63.83,66.44,49878076
2021-07-31,66.83,69,64.11,66.22,52160539
2021-08-31,66.9,69.52,64.14,65.52,44076339
2021-09-30,65.96,66.48,60.14,65.85,60959514
2021-10-31,64.53,65.4,61.81,62.28,52114687
2021-11-30,62.6,63.65,57.06,57.88,66824419
2021-12-31,58.27,61.93,58.01,61.78,53064692
2022-01-31,61.9,69.02,61.9,67.52,77607570
2022-02-28,67.89,69.15,56.68,59.25,89079657
2022-03-31,57.38,58.99,47.23,51.76,153039699
2022-04-30,52.08,54.18,48.99,50.41,82835829
