Date,Open,High,Low,Close,Volume
2015-09-30,59.0613,64.9112,52.6199,57.8563,70755580
2015-10-31,58.8788,68.9864,55.5923,68.1831,40441674
2015-11-30,67.723,76.0268,65.5393,75.4425,34737166
2015-12-31,75.6616,76.5745,66.8758,71.3016,31028639
2016-01-31,69.169,69.169,55.1103,55.9867,45237658
2016-02-29,56.1546,56.235,48.2014,54.8839,45200696
2016-03-31,54.9715,60.9894,54.7743,58.9372,46780505
2016-04-30,58.1338,62.1287,53.5328,58.7911,40613616
2016-05-31,59.39,60.4197,53.3328,57.87,45582749
2016-06-30,57.8928,57.9233,49.5505,50.1682,54849506
2016-07-31,50.5342,60.089,48.3305,58.7545,44023013
2016-08-31,59.8145,61.9191,56.2229,59.4866,33944161
2016-09-30,59.6848,60.8515,54.9189,57.0464,36392020
2016-10-31,57.9538,61.4158,57.4048,60.5236,32529137
2016-11-30,60.8515,63.6653,55.9712,61.3167,42852629
2016-12-31,61.1261,69.2777,59.906,67.6764,34989538
2017-01-31,67.3637,69.9716,64.1839,64.1839,33506964
2017-02-28,64.6872,66.7918,62.8875,64.3364,28478711
2017-03-31,64.8168,66.8528,61.8428,65.2057,45518235
2017-04-30,65.5641,67.8441,62.3461,66.8376,35748065
2017-05-31,67.5544,69.8708,65.9834,66.0786,44770717
2017-06-30,66.2531,69.0219,64.4205,64.4839,37271936
2017-07-31,63.873,67.34,61.1439,61.6516,42302679
2017-08-31,61.8896,65.3963,61.4057,61.8817,34688065
2017-09-30,62.0404,68.0937,61.7944,68.0937,34962756
2017-10-31,68.2286,70.8863,67.3717,69.4186,30797492
2017-11-30,69.9105,71.9415,66.9592,67.1813,36943621
2017-12-31,67.1655,69.9898,65.7454,68.887,28816178
2018-01-31,68.8394,77.3521,66.5466,72.9649,47477184
2018-02-28,73.0998,74.1391,67.4987,68.8791,43802583
2018-03-31,68.5459,70.5452,64.9123,69.9343,51067893
2018-04-30,69.7756,73.3616,68.7204,73.3616,38309693
2018-05-31,73.3854,75.6198,70.3729,70.7708,43679090
2018-06-30,71.1272,72.8762,63.8495,64.3469,45196843
2018-07-31,63.9076,70.0248,63.4102,68.5411,43487875
2018-08-31,69.4114,71.0775,65.6648,69.1379,41945695
2018-09-30,68.7566,71.8981,63.5511,64.4132,46603744
2018-10-31,64.6038,65.8472,59.5062,63.1864,49919182
2018-11-30,63.4268,65.5819,59.1497,59.8543,46313970
2018-12-31,63.576,64.2889,57.293,58.6027,43973668
2019-01-31,58.5446,61.9597,57.0195,60.8904,36243059
2019-02-28,61.1308,61.7276,56.4558,61.595,36776735
2019-03-31,62.084,63.4102,56.1409,56.9863,42017106
2019-04-30,57.724,64.9022,57.6826,62.9129,37242354
2019-05-31,62.7388,63.6423,53.5894,54.1217,54381692
2019-06-30,53.8425,57.2633,53.3538,56.8008,38105450
2019-07-31,58.0486,61.5741,56.059,58.3192,40481362
2019-08-31,58.4675,59.314,50.6486,53.0658,41033510
2019-09-30,52.7953,57.2633,52.3677,56.3644,33096870
2019-10-31,56.6349,61.5567,53.5545,59.9597,37259084
2019-11-30,60.1168,66.2166,59.9423,63.9652,34378203
2019-12-31,64.0437,67.2464,62.2286,63.8256,28033075
2020-01-31,63.8256,65.7541,56.0328,56.1463,33826999
2020-02-29,56.1463,58.7119,49.8806,51.4252,49775094
2020-03-31,51.8354,52.0099,31.9346,41.1149,98124087
2020-04-30,39.7099,49.9679,38.0562,47.1667,52667668
2020-05-31,45.6396,51.4338,39.9412,48.4755,54482851
2020-06-30,50.3279,56.9725,49.6274,52.3646,55819707
2020-07-31,51.6181,57.507,50.3924,50.4108,37835760
2020-08-31,50.4108,56.9264,49.9776,55.4334,37463313
2020-09-30,56.4564,59.9031,54.1709,57.1292,36436074
2020-10-31,58.1613,61.2026,52.7608,54.0787,34820417
2020-11-30,54.3736,71.2479,53.5718,67.3127,43364640
2020-12-31,67.9578,70.1604,64.2622,66.5662,30896772
2021-01-31,67.3035,67.7551,62.8614,64.5203,36043331
2021-02-28,65.2576,67.3219,63.4697,65.8935,30307372
2021-03-31,66.4464,82.4544,65.9487,81.5328,52183284
2021-04-30,82.565,83.5695,76.5562,76.8603,25822589
2021-05-31,77.2382,81.0628,73.5058,79.9016,25988666
2021-06-30,80.7955,88.8317,80.7955,82.3069,28752937
2021-07-31,82.6387,84.0026,75.3858,77.3027,24572121
2021-08-31,78.169,79.2565,69.4969,74.0679,30023247
2021-09-30,74.9619,78.2427,70.5475,76.2705,33220262
2021-10-31,75.4042,82.0304,74.3168,80.3992,27857742
2021-11-30,80.602,87.9562,76.8419,78.3164,30459549
2021-12-31,79.2472,84.6754,76.8235,81.5512,25557739
2022-01-31,81.9383,92.5457,81.7816,85.6615,30386710
2022-02-28,85.9011,89.9469,76.6944,79.7725,39021927
2022-03-31,79.4039,80.6388,62.2808,72.4367,64360749
2022-04-30,72.3538,74.3905,68.4555,72.3538,27909342
2022-05-31,71.6442,76.4917,68.437,74.3075,39394800
2022-06-30,75.137,77.8464,65.0364,67.6998,35338365
2022-07-31,67.1468,73.5518,65.6354,73.2477,30052651
2022-08-31,73.6624,74.7683,66.4095,67.709,31123050
2022-09-30,67.1837,70.8147,63.0734,64.5019,32905897
2022-10-31,64.1332,73.6716,63.2301,73.2846,25767985
2022-11-30,73.7085,79.5974,69.1743,79.5421,30087230
2022-12-31,79.8278,79.9108,75.7176,76.8419,23703166
2023-01-31,77.0446,86.0393,77.0446,85.9195,26046065
2023-02-28,86.5554,92.6379,85.7629,90.0851,24500021
2023-03-31,90.5828,95.5685,85.127,93.025,33788059
2023-04-30,93.0803,96.2874,90.0667,93.4858,20218510
2023-05-31,94.0018,105.54,92.0849,101.92,27559813
2023-06-30,102.6,113.46,102.14,112.52,20845313
2023-07-31,112.9,113.12,105.16,110.86,16558289
2023-08-31,110.92,111.7,95.64,97.17,24007690
2023-09-30,96.93,100.42,93.62,96.38,21527811
2023-10-31,97.02,99.46,86.8,87.63,19576613
2023-11-30,88.4,96.94,87.34,95.59,22115401
2023-12-31,95.94,105.14,94.73,100.78,18049048
2024-01-31,101.4,103.04,92.12,96.78,20967644
2024-02-29,96.18,110.32,95.82,109.22,17669546
2024-03-31,109.98,110.96,102.84,106.96,21477673
2024-04-30,107.2,115.35,101.75,102.45,22390087
2024-05-31,102.35,104.65,91.32,93.18,24635086
2024-06-30,93.72,94.44,86.54,88.38,22579689
2024-07-31,89.76,92.38,85.5,85.82,21900052
2024-08-31,82.4,86.06,77.98,83.82,19429247
2024-09-30,84.04,84.04,68.58,79.18,36000621
2024-10-31,79.18,79.68,72.22,72.32,19477378
2024-11-30,72.12,74.16,65.26,70.02,30467583
2024-12-31,69.42,81.84,69.04,78.98,24465402
2025-01-31,78.54,81.78,74.52,78.6,24990589
2025-02-28,74.64,86.94,73.48,83.9,26986603
2025-03-31,83.38,88.26,72.72,73.68,34733666
2025-04-30,74.4,77.5,62.96,74.3,34736359
2025-05-31,75.7,84.7,73.54,78.1,25174050
2025-06-30,77,78.76,70.94,75.46,19594417
2025-07-31,75.04,90.9,74.06,83.88,28555851
2025-08-31,83.48,91.72,81.6,89.46,17077540
2025-09-30,89.9,90.7,80.6,82.34,16250364
