Date,Open,High,Low,Close,Volume
2015-09-30,9.37072,10.0051,8.58264,8.93543,201640570
2015-10-31,9.02837,9.8155,8.76377,9.49306,149740840
2015-11-30,9.67325,10.2802,9.5879,9.88189,132368286
2015-12-31,9.91034,9.97198,8.48116,9.07768,141590693
2016-01-31,8.86715,9.00466,6.9562,7.08139,193558384
2016-02-29,7.12786,7.84292,5.89215,7.11173,311596629
2016-03-31,7.09466,8.19476,7.06052,7.2464,233505573
2016-04-30,7.162,8.22192,6.85473,7.93036,225451226
2016-05-31,7.95757,7.96924,6.63099,7.48331,208665186
2016-06-30,7.45415,7.5008,5.49197,5.6601,300746641
2016-07-31,5.73882,5.95652,5.16057,5.73007,292300322
2016-08-31,5.79325,6.21503,5.01187,6.12854,273682104
2016-09-30,6.21503,6.51534,5.16542,5.57652,284013031
2016-10-31,5.61151,6.16547,5.37437,6.01289,223935468
2016-11-30,6.03524,7.14219,5.71647,6.38802,335975517
2016-12-31,6.34915,7.66699,6.25002,7.04208,308578408
2017-01-31,7.06152,8.25594,7.04986,7.7875,300551523
2017-02-28,7.8944,8.03532,6.76899,6.99835,270203226
2017-03-31,7.07901,8.82447,7.07027,8.23941,374830860
2017-04-30,8.28023,8.8925,7.60479,8.74186,240768023
2017-05-31,8.80504,9.52324,8.6991,9.12381,270621048
2017-06-30,9.16462,10.2919,8.86918,10.1364,305380108
2017-07-31,10.2142,11.0063,9.86436,10.7681,236228246
2017-08-31,10.7876,11.3999,9.92267,10.1462,191814345
2017-09-30,10.2239,11.3658,9.61557,11.186,219044309
2017-10-31,11.2346,12.0607,10.8993,11.4339,199681981
2017-11-30,11.5165,12.1142,10.773,11.8129,243539548
2017-12-31,11.8566,12.5952,11.6963,12.153,148431388
2018-01-31,12.1307,13.431,11.9966,12.8849,216080241
2018-02-28,12.9743,13.2269,11.4757,12.3795,192656234
2018-03-31,12.3426,12.3737,10.1909,10.2472,193081168
2018-04-30,10.1325,10.842,9.76523,10.4086,165890881
2018-05-31,10.3813,10.7487,8.43573,8.49696,259408042
2018-06-30,8.60095,9.53685,7.69323,7.97993,276435785
2018-07-31,7.87205,9.02856,7.74279,8.97608,188173513
2018-08-31,9.02662,9.02953,7.76029,7.91578,178526436
2018-09-30,7.87302,9.38524,7.77584,8.72243,208153275
2018-10-31,8.71368,8.84294,7.68837,8.10433,154478391
2018-11-30,8.08683,8.6923,7.32878,7.39195,140977706
2018-12-31,7.55134,7.6495,5.34522,5.62025,172025048
2019-01-31,5.61928,6.77871,5.43463,6.0848,175126762
2019-02-28,6.15186,7.09456,5.8603,7.05083,158616909
2019-03-31,7.15093,7.48331,6.37928,6.70582,205795910
2019-04-30,6.78551,8.02269,6.71165,7.78653,173361703
2019-05-31,7.8565,7.98673,6.17,6.302,133956259
2019-06-30,6.231,6.655,5.932,6.319,120019183
2019-07-31,6.48,6.746,6.13,6.163,143351063
2019-08-31,6.163,6.32,4.658,5.159,222598961
2019-09-30,5.15,6.076,5.055,5.322,200296554
2019-10-31,5.343,5.733,4.694,5.363,202183285
2019-11-30,5.374,5.972,4.977,5.261,193164125
2019-12-31,5.314,5.657,5.018,5.517,128350528
2020-01-31,5.55,5.992,5.012,5.2,183663977
2020-02-29,5.226,6.832,5.05,5.211,272749865
2020-03-31,5.3,5.378,2.804,3.3085,485383090
2020-04-30,3.16,3.775,2.96,3.374,319350941
2020-05-31,3.25,3.885,2.814,3.501,310879760
2020-06-30,3.62,4.774,3.58,3.967,336505310
2020-07-31,3.95,4.859,3.883,4.349,242182190
2020-08-31,4.344,5.058,4.307,4.863,147176172
2020-09-30,4.918,5.35,3.987,4.193,184259167
2020-10-31,4.276,4.82,3.92,4.045,150946136
2020-11-30,4.101,5.524,3.96,5.21,226535861
2020-12-31,5.256,5.594,4.971,5.266,115631359
2021-01-31,5.32,5.958,5.182,5.48,142424003
2021-02-28,5.554,5.75,5.002,5.43,168758962
2021-03-31,5.538,5.834,5.114,5.228,172236292
2021-04-30,5.258,5.525,4.7,5.491,133005205
2021-05-31,5.477,6.749,5.451,6.598,159173864
2021-06-30,6.636,6.872,5.887,5.982,108685750
2021-07-31,6.067,6.087,5.253,5.44,101090658
2021-08-31,5.49,5.541,5.03,5.31,126579776
2021-09-30,5.401,5.835,5.008,5.755,167925459
2021-10-31,5.637,6.55,5.536,6.316,137234781
2021-11-30,6.331,7.192,6.077,6.235,167552227
2021-12-31,6.3,6.857,6.172,6.689,96193610
2022-01-31,6.729,7.969,6.717,7.587,163783190
2022-02-28,7.77,9.513,7.35,7.534,218717699
2022-03-31,7.459,7.73,5.168,6.927,270917969
2022-04-30,6.99,7.25,5.832,6.282,161095795
2022-05-31,6.23,8.322,5.93,8.078,148567168
2022-06-30,8.19,8.642,6.5,6.686,161866806
2022-07-31,6.556,6.85,5.65,6.678,142806461
2022-08-31,6.674,7.34,6.162,6.63,106625296
2022-09-30,6.6,8.366,6.472,7.342,161932014
2022-10-31,7.196,8.396,6.998,8.096,101427070
