Date,Open,High,Low,Close,Volume
2015-09-30,69.9491,72.675,65.5984,68.3953,13320797
2015-10-31,71.4142,75.9158,66.9125,74.362,12345302
2015-11-30,73.6251,75.321,69.5851,72.089,10587838
2015-12-31,72.311,72.6484,65.5096,72.2666,12023717
2016-01-31,70.8282,70.8282,64.2488,69.7982,14575968
2016-02-29,69.8337,73.6961,61.9757,67.6317,18839228
2016-03-31,67.1789,69.7449,62.9524,66.584,13050897
2016-04-30,65.7405,67.5962,62.3043,63.6539,9574274
2016-05-31,63.2721,73.1875,62.4374,72.0439,11679272
2016-06-30,71.9524,75.1452,64.2586,67.2776,13942586
2016-07-31,67.7899,70.3972,63.4261,68.7139,9104955
2016-08-31,68.2839,70.4338,65.5302,65.5302,4748345
2016-09-30,65.8596,68.6133,63.2248,63.5542,2448494
2016-10-31,63.0327,64.899,60.8279,62.2734,1976397
2016-11-30,62.3923,68.1467,60.4803,66.8842,2086842
2016-12-31,66.8934,71.0467,63.9018,69.9123,1768601
2017-01-31,70.3972,76.3986,67.9454,75.3008,2046993
2017-02-28,75.438,76.5084,71.6322,73.3613,1974780
2017-03-31,74.1664,79.3352,70.6351,78.8412,2060159
2017-04-30,79.2072,83.452,77.5421,82.1987,9908828
2017-05-31,82.7842,87.3979,82.4042,86.8065,9324123
2017-06-30,86.9567,92.3821,85.7646,86.7502,8486973
2017-07-31,86.8535,91.0492,82.5638,82.9862,8946368
2017-08-31,82.6014,86.3466,82.4418,84.2815,7203243
2017-09-30,83.5494,90.0543,83.54,86.0838,10330648
2017-10-31,85.7083,90.3546,83.1645,83.2396,10786276
2017-11-30,84.0281,89.8196,83.7465,89.4066,10975107
2017-12-31,89.1532,94.0998,87.4917,90.8615,9422096
2018-01-31,90.5048,98.5115,89.4535,97.0097,10560352
2018-02-28,97.6198,103.955,94.71,102.735,13068703
2018-03-31,103.017,105.692,97.8075,103.814,14315086
2018-04-30,103.251,108.273,101.937,104.8,10338162
2018-05-31,104.988,110.724,104.586,109.717,10351890
2018-06-30,110.436,114.896,107.607,109.477,11251434
2018-07-31,108.086,116.19,107.655,108.086,10998537
2018-08-31,108.23,115.279,106.552,114.128,10607938
2018-09-30,114.128,114.992,109.621,110.676,11045210
2018-10-31,110.244,113.361,102.284,107.271,15849411
2018-11-30,107.079,111.155,104.634,108.182,12833902
2018-12-31,109.813,111.107,98.2084,100.654,10857268
2019-01-31,100.414,112.546,99.695,111.491,11043171
2019-02-28,111.539,112.354,104.058,106.552,11470649
2019-03-31,107.175,111.347,105.113,109.621,10782187
2019-04-30,110.052,114.56,107.847,114.033,9930004
