Date,Open,High,Low,Close,Volume
2015-09-30,22.2926,23.3327,19.8108,20.7776,155349074
2015-10-31,21.1574,24.1485,20.2985,21.9861,159236308
2015-11-30,21.7358,22.612,20.1734,20.9805,110214058
2015-12-31,21.097,21.2956,17.8556,19.4439,144373123
2016-01-31,18.9044,19.0771,13.7856,14.1567,212294552
2016-02-29,14.2387,14.3337,11.2477,13.7985,338413985
2016-03-31,13.7338,16.2587,12.7454,12.9051,247218028
2016-04-30,12.7281,15.1408,11.757,14.2172,224343262
2016-05-31,14.3035,14.3251,12.2318,13.8589,179468495
2016-06-30,13.7338,13.915,10.4017,10.6391,371948035
2016-07-31,10.7643,11.5887,9.68099,10.3802,319273545
2016-08-31,10.747,11.593,9.54719,11.4031,239281769
2016-09-30,11.5067,11.9469,8.54413,9.98743,400093883
2016-10-31,10.0003,11.8606,9.88816,11.3556,269618037
2016-11-30,11.3685,13.3539,10.3586,12.8274,273301333
2016-12-31,12.7583,16.086,12.4476,14.8905,291652013
2017-01-31,14.8473,17.2384,14.7653,15.8745,247027455
2017-02-28,16.0644,16.5694,15.2099,16.0558,214878411
2017-03-31,16.3148,17.0874,14.6189,15.62,432511950
2017-04-30,15.412,16.7903,14.2127,15.9875,343113420
2017-05-31,16.1471,17.1094,15.2356,15.2356,284278726
2017-06-30,15.2601,15.8372,14.5411,15.1867,293516888
2017-07-31,15.309,16.5366,14.6634,14.7612,285072589
2017-08-31,14.859,15.3285,13.0004,13.1765,277842548
2017-09-30,13.2352,14.321,12.8243,14.3112,283669614
2017-10-31,14.3797,14.4922,13.6265,13.646,246638453
2017-11-30,13.7047,16.0818,13.5237,15.5144,373720719
2017-12-31,15.4997,16.7518,15.3139,15.5291,233720081
2018-01-31,15.6846,16.0974,14.454,14.4716,362508224
2018-02-28,14.589,14.7123,12.1004,12.9124,396207125
2018-03-31,12.8145,12.9671,10.7583,11.0792,344600818
2018-04-30,10.9481,11.942,10.5881,11.1183,289744803
2018-05-31,11.1144,11.4607,8.9635,9.05347,407351820
2018-06-30,9.21858,9.73765,8.65602,9.11774,427612902
2018-07-31,8.96844,11.1564,8.81223,11.0615,383662958
2018-08-31,11.1228,11.1287,9.50926,9.59231,280259035
2018-09-30,9.57056,10.5058,9.34523,9.71688,374666746
2018-10-31,9.67437,9.85827,8.32381,8.55319,311383298
2018-11-30,8.54232,9.2611,7.90263,7.97184,285316101
2018-12-31,8.20517,8.31788,6.6025,6.88823,300383415
2019-01-31,6.99007,8.22593,6.75871,7.65842,328440356
2019-02-28,7.71181,8.14684,7.01676,8.06873,253776643
2019-03-31,8.13695,8.20319,7.04049,7.17792,316550934
2019-04-30,7.25602,7.86704,7.07213,7.28568,291036229
2019-05-31,7.25998,7.50517,6.025,6.087,316141090
2019-06-30,6,6.88,5.801,6.78,310046680
2019-07-31,6.922,7.49,6.347,7.04,405093256
2019-08-31,7.043,7.17,5.777,6.572,376030151
2019-09-30,6.563,7.746,6.53,6.871,326228329
2019-10-31,6.909,7.373,6.205,6.494,327350054
2019-11-30,6.533,7.138,6.426,6.544,250780862
2019-12-31,6.565,7.138,6.28,6.917,243460259
2020-01-31,6.987,8.65,6.975,8.284,370308105
2020-02-29,8.299,10.37,7.708,7.879,474304587
2020-03-31,8,8.025,4.4485,5.969,810928665
2020-04-30,5.671,7.35,5.394,6.778,453878391
2020-05-31,6.501,8.08,5.795,7.531,341947873
2020-06-30,7.701,9.201,7.701,8.464,398055277
2020-07-31,8.35,9.175,7.298,7.591,305294153
2020-08-31,7.6,8.474,7.566,8.025,186931433
2020-09-30,8.11,8.29,6.753,7.19,278111782
2020-10-31,7.317,8.355,7.034,7.901,244343409
2020-11-30,8,9.73,7.92,9.343,321772835
2020-12-31,9.32,9.833,8.471,8.949,212376491
2021-01-31,9.027,10.086,8.366,8.369,238125100
2021-02-28,8.451,10.79,8.41,10.214,280431332
2021-03-31,10.402,11.25,9.819,10.188,290216191
2021-04-30,10.218,11.778,9.702,11.606,218427730
2021-05-31,11.698,12.512,10.946,12.192,228176179
2021-06-30,12.246,12.56,10.7,10.986,223748922
2021-07-31,11.108,11.16,9.764,10.658,199063206
2021-08-31,10.562,11.08,10.286,10.528,141715728
2021-09-30,10.602,11.296,10.072,11.038,185400540
2021-10-31,10.846,11.92,10.57,11.146,206969272
2021-11-30,11.1,11.704,10.41,10.66,235532083
2021-12-31,10.792,11.48,10.494,11.018,163479557
2022-01-31,11.066,12.564,10.702,12.254,255377599
2022-02-28,12.424,14.636,10.692,11.26,392967091
2022-03-31,11.17,12.114,8.163,11.51,496444653
2022-04-30,11.65,12.042,9.255,9.626,293846080
2022-05-31,9.55,10.734,8.814,10.374,261815733
2022-06-30,10.516,10.554,8.12,8.318,250716923
2022-07-31,8.182,8.674,7.525,8.526,254430625
2022-08-31,8.55,9.182,8.08,8.323,170306619
2022-09-30,8.28,9.324,7.461,7.646,277578805
2022-10-31,7.456,9.91,7.249,9.66,256433668
2022-11-30,9.724,10.616,9.586,10.122,177390597
2022-12-31,10.182,10.788,9.679,10.588,156782749
2023-01-31,10.64,12.362,10.64,12.208,184732102
2023-02-28,12.234,12.346,11.182,11.8,219970504
2023-03-31,11.84,11.86,7.945,9.356,509314685
2023-04-30,9.397,10.218,9.217,9.943,193335464
2023-05-31,9.967,10.064,9.134,9.476,188169556
2023-06-30,9.55,10.06,8.9,9.62,209981576
2023-07-31,9.66,10.71,9.05,10.08,232159373
2023-08-31,10.08,10.38,9.64,10.05,171768039
2023-09-30,10.09,10.56,9.51,10.45,208413212
2023-10-31,10.46,10.54,9.44,10.36,231073067
2023-11-30,10.42,11.65,10.37,11.43,189313302
2023-12-31,11.5,12.47,11.43,12.36,156576322
2024-01-31,12.36,12.85,11.56,12.03,165720897
2024-02-29,12.01,12.92,11.52,12.36,182673706
2024-03-31,12.4,14.78,12.28,14.58,200258582
2024-04-30,14.6,17.01,14.35,15.01,227630074
2024-05-31,15.1,16.23,14.93,15.23,140837541
2024-06-30,15.33,15.49,14.04,14.91,133101929
2024-07-31,15.19,15.9,13.9,14.44,134977151
2024-08-31,14.36,14.83,12.268,14.75,113384105
2024-09-30,14.8,15.718,13.81,15.498,128198662
2024-10-31,15.546,16.394,15.076,15.624,150686167
2024-11-30,15.612,16.894,15.298,16.074,142757370
2024-12-31,15.904,17.308,15.904,16.64,105242058
2025-01-31,16.58,19.628,16.294,18.94,174622394
2025-02-28,18.546,20.9,17.952,20.725,176781035
2025-03-31,20.525,23.54,19.33,21.82,225450506
2025-04-30,22.05,23.8,16.582,22.98,238180369
2025-05-31,23.475,25.645,23.045,24.36,128365838
2025-06-30,24.15,26.1,23.55,25.17,145143896
2025-07-31,24.92,29.48,24.26,28.985,135902179
2025-08-31,28.7,32.0849,27.895,30.03,106715732
2025-09-30,30.17,32.21,29.185,30.76,126796055
