Date,Open,High,Low,Close,Volume
2023-07-31,44.61,47.05,43.07,46.72,40052664
2023-08-31,45.55,45.57,41.83,43.09,40681405
2023-09-30,42.99,43.52,37.57,38.54,50647441
2023-10-31,38.65,39.47,36.04,36.76,44797244
2023-11-30,36.86,43.33,36.33,43.04,52432235
2023-12-31,43.19,47.03,43.19,44.86,51257133
2024-01-31,45.05,45.67,43.39,44.52,39858568
2024-02-29,44.2,44.8,41.56,42.91,52971161
2024-03-31,42.98,42.99,38.24,39.92,69243054
2024-04-30,39.97,40.09,37.83,39.26,47075299
2024-05-31,39.17,40.35,37.68,38.66,71477327
2024-06-30,39,40.01,37.31,37.79,48154549
2024-07-31,38.31,41.36,38.12,41.25,39996570
2024-08-31,41.66,42.44,35.82,39.2,43707318
2024-09-30,39.12,40.8,37.61,40.03,49001988
2024-10-31,40.23,40.29,36.2,36.93,45318018
2024-11-30,36.98,37.88,34.04,34.77,53600525
2024-12-31,34.52,36.06,33.16,33.98,47096674
2025-01-31,34.21,36.36,33.03,34.81,54620289
2025-02-28,33.83,38.17,33.37,37.69,50376104
2025-03-31,37.45,44.27,37.03,39.48,78307336
2025-04-30,39.69,40,30.96,37.51,72866216
2025-05-31,38.27,39.52,36.34,39.37,49491776
2025-06-30,38.92,41.65,38.19,39.21,45449836
2025-07-31,39.23,41.59,38.41,39.45,38920501
2025-08-31,39.2,42.26,38.08,38.88,32573162
2025-09-30,39,39.46,37,37.05,25327766
