Date,Open,High,Low,Close,Volume
2015-09-30,11.6477,12.6959,11.3642,12.3349,276724839
2015-10-31,12.4125,13.3676,11.3021,13.2046,256925047
2015-11-30,13.0531,13.6433,12.7115,13.554,195898910
2015-12-31,13.5851,13.62,12.0087,12.96,222548365
2016-01-31,12.6998,12.6998,11.4263,12.4358,236228990
2016-02-29,12.4513,12.6028,10.875,12.0126,252453650
2016-03-31,12.0243,12.5329,11.6282,12.2495,213964753
2016-04-30,12.1174,12.6028,11.5428,11.869,171517555
2016-05-31,11.9427,12.9027,11.4691,12.75,197041451
2016-06-30,12.7259,12.8223,10.8741,12.276,300080767
2016-07-31,12.3363,12.513,11.5891,12.2318,166439049
2016-08-31,12.2881,12.6938,11.9587,12.027,141675586
2016-09-30,12.0832,12.3805,11.4485,11.9868,193889365
2016-10-31,11.9707,12.26,11.2959,11.9265,189578642
2016-11-30,11.9627,12.0471,11.3722,11.9426,213479045
2016-12-31,11.8783,13.1397,11.6212,13.1397,201171343
2017-01-31,13.0634,13.3646,12.8625,12.983,179554413
2017-02-28,12.9991,13.3887,12.5532,13.1035,165831578
2017-03-31,13.208,13.2441,12.7099,13.1959,186169416
2017-04-30,13.2763,13.3285,12.7259,12.9348,148020136
2017-05-31,12.9388,14.5778,12.9147,14.2404,244382729
2017-06-30,14.2944,14.4981,13.0471,13.072,231558382
2017-07-31,13.1968,13.3714,12.8101,12.8433,189096287
2017-08-31,12.914,13.3381,12.3486,12.6063,178780765
2017-09-30,12.6438,13.1469,12.3153,13.1261,238342019
2017-10-31,13.1427,13.2051,12.7519,13.0055,168486705
2017-11-30,12.7228,13.1011,12.1573,12.4816,264401756
2017-12-31,12.5273,13.0803,12.2737,12.3028,203270013
2018-01-31,12.3153,12.544,11.675,11.7457,289553056
2018-02-28,11.8288,11.8413,10.5898,11.0264,378846736
2018-03-31,10.9931,11.1719,10.5773,11.0181,307003385
2018-04-30,10.9723,12.4816,10.7644,12.0534,279172817
2018-05-31,12.07,12.1823,11.3964,11.5228,316035142
2018-06-30,11.5664,12.1417,11.3921,11.5664,278776288
2018-07-31,11.4792,12.4467,11.4444,12.3334,232648664
2018-08-31,12.3247,12.5295,12.0458,12.1242,219064116
2018-09-30,12.1025,12.3029,11.6318,12.1025,208099120
2018-10-31,12.1025,12.8608,11.9891,12.6341,307955099
2018-11-30,12.6211,13.5276,12.4903,13.497,264898529
2018-12-31,13.5668,13.5973,12.5383,12.9174,246410348
2019-01-31,12.8477,13.2181,12.1547,12.3683,275433496
2019-02-28,12.3857,12.8477,12.1765,12.6254,221090001
2019-03-31,12.6603,13.8413,12.5557,13.5043,267155829
2019-04-30,13.5509,13.7718,13.2843,13.6129,203996718
2019-05-31,13.5947,14.062,13.2935,13.7918,253052863
2019-06-30,13.7754,14.3359,13.717,13.8849,178983145
2019-07-31,14.0018,14.2829,13.3136,13.5819,181587897
2019-08-31,13.5819,13.9105,13.1365,13.8521,202059395
2019-09-30,13.8284,14.1369,13.6385,14.0511,158133709
2019-10-31,14.0565,14.8379,13.6951,14.3924,198945633
2019-11-30,14.4673,14.4691,13.6641,13.9069,209414574
2019-12-31,13.9653,13.9762,13.299,13.299,189799116
2020-01-31,13.3245,13.6568,13.2022,13.3318,202373210
2020-02-29,13.3975,15.287,13.2898,13.4687,295218238
2020-03-31,13.476,13.8302,9.49824,11.3523,609153164
2020-04-30,11.0746,13.0301,10.8584,12.8043,273059803
2020-05-31,12.5833,13.9045,12.3142,13.6211,247711558
2020-06-30,13.8373,15.155,13.7652,14.945,311249595
2020-07-31,15,15.54,14.165,14.165,214971003
2020-08-31,14.22,15.595,14.11,14.75,177085318
2020-09-30,14.875,15.725,14.105,14.29,245833071
2020-10-31,14.5,14.89,12.585,13.07,223291027
2020-11-30,13.22,15.375,13.095,15.115,252521391
2020-12-31,15.21,15.275,14.525,14.955,185738822
2021-01-31,15.1,15.45,14.7,14.7,209719253
2021-02-28,14.785,15.33,14.595,15.03,197881035
2021-03-31,15.15,17.36,14.815,17.17,288436275
2021-04-30,17.214,17.25,15.852,16,180068378
2021-05-31,16.07,17.368,15.988,16.994,190115145
2021-06-30,17.08,18.044,17.076,17.812,146951583
2021-07-31,17.898,18.434,17.458,17.506,149005279
2021-08-31,17.51,18.918,17.222,18.008,137678979
2021-09-30,18.11,18.442,16.86,17.396,172836544
2021-10-31,17.25,17.624,15.642,16.078,192374142
2021-11-30,16.12,17.194,15.588,15.588,227104128
2021-12-31,15.66,16.486,15.434,16.3,199324221
2022-01-31,16.382,16.962,15.51,16.672,230384913
2022-02-28,16.8,17.816,15.364,16.03,277154570
2022-03-31,15.95,17.492,14.468,16.932,319745910
2022-04-30,16.936,17.856,16.712,17.57,199891565
2022-05-31,17.418,19.15,17.142,19.124,210623161
2022-06-30,19.218,19.308,17.752,18.946,210701026
2022-07-31,18.89,19.39,17.926,18.506,189531641
2022-08-31,18.61,19.204,18.498,18.788,144963325
2022-09-30,18.738,19.612,17.418,17.492,173590920
2022-10-31,17.412,19.424,17.35,19.164,134291150
2022-11-30,19.222,19.862,18.604,19.406,168449792
2022-12-31,19.518,19.714,18.638,18.638,130367418
2023-01-31,18.738,20.655,18.684,20.45,134878227
2023-02-28,20.405,21.595,19.91,21.235,139823928
2023-03-31,21.35,22.4,20.935,22.35,181600868
2023-04-30,22.41,23.125,21.69,21.88,136624348
2023-05-31,21.7,22.18,20.635,20.745,147126208
2023-06-30,20.71,21.18,18.72,19.98,226497937
2023-07-31,19.99,20.14,19.15,19.84,128797944
2023-08-31,19.86,19.9,18.5,19.74,132185674
2023-09-30,19.78,20.98,19.54,19.87,133347965
2023-10-31,19.9,20.73,19.52,20.48,116623565
2023-11-30,20.57,22.06,20.53,21.98,123280034
2023-12-31,22.1,22.9,21.34,21.75,142326731
2024-01-31,21.9,23.4,21.75,22.75,127181986
2024-02-29,22.83,22.93,21.71,21.99,118884884
2024-03-31,22.01,22.6,21.44,22.5,152815542
2024-04-30,22.53,22.68,20.73,21.49,180629287
2024-05-31,21.5,22.36,21.46,22.29,151029650
2024-06-30,22.41,23.54,22,23.48,175336902
2024-07-31,23.66,24.43,23.45,24.17,130271541
2024-08-31,24.11,25.87,23.47,25.71,149146499
2024-09-30,25.75,27.02,25.62,26.39,128396754
