Date,Open,High,Low,Close,Volume
2021-12-31,34.005,35.105,29.9,32.29,26553542
2022-01-31,32.6,35.755,30.855,31.38,43069568
2022-02-28,31.965,33.82,26.515,27.18,41636457
2022-03-31,26.99,27.715,20.285,25.23,78564395
2022-04-30,25.4,26.415,23.005,25.8,35537254
2022-05-31,25.51,29.815,25.015,29.03,38279303
2022-06-30,29.14,30.265,24.365,24.91,27910933
2022-07-31,24.9,26.985,22.645,26.59,25871185
2022-08-31,26.7,29.05,24.905,25.525,24792669
2022-09-30,25.35,26.775,22.475,23.35,27049934
2022-10-31,23.23,27.265,22.84,27,26493982
2022-11-30,27.36,31.615,26.585,31.37,31151583
2022-12-31,31.58,31.655,28.945,28.945,21741264
2023-01-31,29.135,31.55,28.955,30.77,24810398
2023-02-28,30.945,32.55,29.525,30.015,22591958
2023-03-31,30.135,33.305,29.115,31.11,33378746
2023-04-30,31.01,31.02,28.51,29.94,27427308
2023-05-31,30,30.36,27.57,28.3,34860826
2023-06-30,28.41,33.09,28.05,33,37141349
2023-07-31,33.15,34.31,31.41,34.15,30348125
2023-08-31,33.63,34.31,32.11,32.49,31957501
2023-09-30,32.58,34.06,31.77,32.82,28032907
2023-10-31,33.08,33.3,29.4,29.62,33560416
2023-11-30,29.78,30.23,27.97,29.83,40226579
2023-12-31,29.92,34.41,29.79,34.02,28006262
2024-01-31,34,34.44,30.82,33.26,24276364
2024-02-29,33.05,38.01,33.02,37.78,22464537
2024-03-31,41.04,47.64,40.69,46.96,34233654
2024-04-30,47.4,47.46,41.78,42.31,29628050
2024-05-31,41.98,42.58,38.68,39.17,29975308
2024-06-30,39.52,40.54,36.25,37.17,29472025
2024-07-31,37.57,38.46,34.12,35.74,24300566
2024-08-31,33.55,35.23,31.37,34.66,27127683
2024-09-30,34.74,34.74,29.61,33.63,25173030
2024-10-31,33.69,39.57,33.02,38.01,33007150
2024-11-30,38.11,40.48,33.93,35.8,26967666
2024-12-31,35.67,37.86,35.3,36.85,19155456
2025-01-31,36.83,43.25,35.52,42.65,28182209
2025-02-28,40.74,43.88,39.3,42.11,28825095
2025-03-31,42.09,45.33,34.84,37.12,46323508
2025-04-30,37.06,37.98,30.78,35.16,44527680
2025-05-31,35.88,41.21,34.47,38.21,29743254
2025-06-30,37.7,40.91,36.72,40.17,28591713
2025-07-31,39.91,45.19,38.96,42.83,29932962
2025-08-31,41.25,42.07,38.31,40.17,18506392
2025-09-30,40.36,40.39,36.73,37.44,16254364
