Date,Open,High,Low,Close,Volume
2020-09-30,21.85,23.37,21.56,23,16176547
2020-10-31,23.4,23.77,18.36,18.8,59953179
2020-11-30,18.875,25.64,18.605,24.9,40292856
2020-12-31,25,30.68,24.37,30,32347192
2021-01-31,30.62,34.48,29.35,30.58,38489936
2021-02-28,31.2,33.63,29.52,31.25,31439890
2021-03-31,31.82,32.74,28.5,30.61,53975040
2021-04-30,30.62,32.59,27.72,27.8,45234692
2021-05-31,27.96,28.16,23.82,26,50702823
2021-06-30,26.25,26.72,24.11,25.42,46545333
2021-07-31,25.51,27.65,21.58,22.94,58847106
2021-08-31,23.2,25.03,22.55,24.58,34259378
2021-09-30,24.81,25.6,22.24,23.23,48972027
2021-10-31,23.06,25.27,21.26,24.82,42168144
2021-11-30,24.91,25.59,22.66,23.44,60301646
2021-12-31,23.66,23.93,21.52,22.49,39191026
2022-01-31,22.62,23.99,17.805,19.76,84396059
2022-02-28,20,21.49,17.12,21.43,73997436
2022-03-31,21.44,22.03,18.425,20.72,87002971
2022-04-30,20.83,21.8,17.73,18.43,50888342
2022-05-31,18.25,18.345,15.07,17.935,51855083
2022-06-30,18.165,18.97,13.625,13.985,39709354
2022-07-31,13.955,16.275,13.36,16.185,36885204
2022-08-31,16.205,16.99,14.64,14.675,33013416
2022-09-30,14.545,14.65,11.12,11.385,70078207
2022-10-31,11.305,12.195,10.25,11.815,40502604
2022-11-30,11.96,16.375,11.64,15.81,52691882
2022-12-31,16.1,17.95,15.81,17.575,40238803
2023-01-31,17.675,19.76,17.085,19.12,49026524
2023-02-28,19.175,19.68,17.705,18.97,45863968
2023-03-31,19.305,20.43,17.77,20.24,74445063
2023-04-30,20.55,22.22,20.36,22.18,41825217
2023-05-31,22.11,24.81,21.55,23.74,53302443
2023-06-30,23.7,24.64,13.78,16.18,109426666
2023-07-31,16.49,16.52,14.55,15.39,64082183
2023-08-31,15.43,16.36,12.83,13.16,86607364
2023-09-30,13.2,13.25,11.82,12.38,69879839
2023-10-31,12.43,12.59,6.4,8.37,151670297
2023-11-30,8.32,12.09,8.14,10.88,152922276
2023-12-31,10.9,12.04,10.16,12,74143367
2024-01-31,12.03,14.16,11.09,13.97,85982757
2024-02-29,13.85,14.64,13.07,14.21,65864946
2024-03-31,14.3,17.02,13.7,17.01,73533152
2024-04-30,17.15,19.47,16.53,19.3,81721933
2024-05-31,19.19,27.01,18.88,24.82,119629306
2024-06-30,25.28,25.65,22.41,24.31,66823173
2024-07-31,24.48,27.91,23.84,26.91,64490071
2024-08-31,26.73,27.07,22.06,26.05,55517442
2024-09-30,25.65,34.29,23.7,33.07,88644281
2024-10-31,33.2,38.61,32.58,37.53,60710968
2024-11-30,37.79,51.02,36.92,51.02,73491387
2024-12-31,51.04,53.3,45.12,50.38,55136245
2025-01-31,50.32,60.4,46.88,57.84,96513194
2025-02-28,54.3,64.56,50.6,54.94,75073850
2025-03-31,55.36,63.18,47.86,53.84,97413176
2025-04-30,55,70.48,41.81,67.54,75999303
2025-05-31,70.9,87.66,70,85.5,60519956
2025-06-30,85.34,98.06,82.1,98.06,43701523
2025-07-31,99,104.85,87.2,102,41038782
2025-08-31,100,104.6,89.86,90.72,39219364
2025-09-30,90.74,97,83.32,96.92,51999898
