Date,Open,High,Low,Close,Volume
2015-09-30,6.92903,6.95326,4.89808,5.3141,490374083
2015-10-31,5.36878,7.08824,5.14797,6.64315,302429600
2015-11-30,6.59677,6.90826,5.96686,6.22713,214482172
2015-12-31,6.24305,6.4964,5.41309,6.18213,237416602
2016-01-31,6.03469,6.83004,5.53907,6.52409,288210623
2016-02-29,6.53655,6.71929,5.41447,5.80419,303643442
2016-03-31,5.81457,6.13645,5.50307,5.84087,258745785
2016-04-30,5.77581,6.61061,5.55499,6.23613,223802408
2016-05-31,6.26797,6.27835,5.39993,6.11568,217252594
2016-06-30,6.12053,6.9375,5.88933,6.59969,283941427
2016-07-31,6.63186,7.1086,6.41324,7.01354,158310760
2016-08-31,7.05961,7.08739,5.9387,6.03741,185165225
2016-09-30,6.04326,6.17194,5.1056,5.26315,344128236
2016-10-31,5.30149,5.75078,5.03892,5.56156,263318806
2016-11-30,5.59491,5.70327,4.99557,5.19063,266607913
2016-12-31,5.16812,5.59824,5.01058,5.5849,244429489
2017-01-31,5.60158,6.19341,5.44403,5.92083,248223447
2017-02-28,5.96668,6.12256,5.71994,6.10672,189879715
2017-03-31,6.12672,6.33095,5.58074,6.21091,406274729
2017-04-30,6.24259,6.25176,5.87832,5.96585,199784891
2017-05-31,5.97668,6.96791,5.84331,6.87958,339758359
2017-06-30,6.90078,8.09949,6.83541,7.28592,349184502
2017-07-31,7.36719,7.63661,7.06243,7.38751,199854203
2017-08-31,7.42372,8.5765,7.40076,8.38747,280039982
2017-09-30,8.41662,8.59947,8.04384,8.45902,242419937
2017-10-31,8.46255,8.96606,8.13571,8.9484,196754469
2017-11-30,8.97048,9.54908,8.40955,8.58357,236201768
2017-12-31,8.60477,8.72932,7.9237,8.00409,223001251
2018-01-31,8.02971,8.2638,7.42991,7.47231,276225765
2018-02-28,7.52354,7.75498,6.95819,7.38486,300181874
2018-03-31,7.36277,8.36538,7.06243,7.96787,375640415
2018-04-30,7.91399,8.10302,7.64721,8.01381,234813648
2018-05-31,8.01381,8.66379,8.00144,8.27433,270439837
2018-06-30,8.28163,8.68659,8.01622,8.34912,254984259
2018-07-31,8.2269,9.07513,8.22234,8.79604,228197307
2018-08-31,8.81975,8.89089,8.33544,8.37284,247320248
2018-09-30,8.32723,8.43303,7.78272,8.00801,396260171
2018-10-31,7.98156,8.04175,7.44526,7.8037,193638986
2018-11-30,7.7882,8.49141,7.65777,8.21322,228655568
2018-12-31,8.30626,8.45857,7.67875,7.86846,184978558
2019-01-31,7.80826,8.85715,7.79093,8.82887,209509387
2019-02-28,8.87448,8.96842,8.5817,8.83343,146488911
2019-03-31,8.90184,9.25208,8.65102,9.04047,202750208
2019-04-30,9.08334,9.22836,8.65011,8.72672,166475907
2019-05-31,8.67382,9.06447,8.4832,8.92509,210659028
2019-06-30,8.90504,9.79478,8.86972,9.11793,174340684
2019-07-31,9.23153,9.43774,8.45826,8.64346,170182039
2019-08-31,8.63392,8.85158,7.71076,8.07162,227384506
2019-09-30,8.02866,8.73034,8.01339,8.51459,207098578
2019-10-31,8.51077,8.72556,8.22341,8.62724,179451079
2019-11-30,8.65969,9.19812,8.39239,9.06733,180854248
2019-12-31,9.21435,9.29263,8.59955,9.09215,168372929
2020-01-31,9.11697,10.0009,8.9079,9.77569,169363457
2020-02-29,9.77569,11.0377,9.76232,9.95707,190755745
2020-03-31,10.0544,10.7589,7.25635,9.01292,449114769
2020-04-30,8.84203,8.91841,7.94656,8.73129,223769630
2020-05-31,8.65874,9.74705,8.42007,9.506,207385654
2020-06-30,9.618,10.4,9.476,10.015,204914045
2020-07-31,10.085,10.81,9.782,9.936,168046774
2020-08-31,9.96,10.26,9.712,9.91,128774161
2020-09-30,9.95,10.405,9.276,9.428,151414200
2020-10-31,9.56,9.866,8.718,8.952,146003800
2020-11-30,8.972,9.698,8.814,9.076,195117889
2020-12-31,9.142,9.254,8.63,9.064,171253646
2021-01-31,9.124,9.214,8.604,8.73,230178066
2021-02-28,8.776,8.93,8.412,8.45,177341261
2021-03-31,8.5,9.942,8.27,9.924,278647839
2021-04-30,9.92,10.252,9.714,10.026,165507395
2021-05-31,10.09,10.718,9.864,9.887,175150258
2021-06-30,9.9,10.26,9.734,9.754,132441944
2021-07-31,9.816,10.494,9.706,10.372,120031395
2021-08-31,10.398,11.428,10.332,11.178,121310495
2021-09-30,11.244,11.38,10.526,10.568,127199311
2021-10-31,10.51,11.236,10.228,10.966,141609570
2021-11-30,10.97,11.336,10.524,10.894,163955593
2021-12-31,10.962,12.28,10.666,12.192,141354049
2022-01-31,12.2,12.398,11.692,12.22,137456417
2022-02-28,12.27,12.544,11.182,12.118,148502746
2022-03-31,12.07,12.278,9.62,10.542,269432065
2022-04-30,10.57,10.615,9.51,9.93,168116654
2022-05-31,9.912,10.28,9.418,9.484,188039342
2022-06-30,9.508,9.736,7.872,8.008,177809042
2022-07-31,7.964,8.83,7.716,8.77,161597681
2022-08-31,8.792,9.61,8.282,8.51,130813575
2022-09-30,8.428,9.344,7.604,7.896,140467715
2022-10-31,7.902,8.508,7.28,8.476,113199429
2022-11-30,8.48,9.164,8.39,9.124,109508916
2022-12-31,9.19,9.4,8.886,9.334,82389284
2023-01-31,9.37,10.255,9.344,9.986,95088280
2023-02-28,10.015,10.485,9.75,10.345,92598123
2023-03-31,10.335,11.565,9.964,11.5,168681977
2023-04-30,11.445,12.185,11.335,12.005,94836544
2023-05-31,12.045,12.29,11,11.31,131414126
2023-06-30,11.3,11.73,11.1,11.68,96499229
2023-07-31,11.73,11.8,11.18,11.51,71526545
2023-08-31,11.59,11.6,10.73,11.38,98602611
2023-09-30,11.36,11.87,11.08,11.2,101864269
2023-10-31,11.25,11.29,10.43,11.22,103178914
2023-11-30,11.22,12.05,11.09,11.94,100931021
2023-12-31,11.96,12.8,11.96,12.15,84547526
2024-01-31,12.17,12.79,12.07,12.56,91933602
2024-02-29,12.53,12.77,11.65,11.81,98087073
2024-03-31,11.84,13.03,11.72,12.89,122660225
2024-04-30,12.83,12.94,11.91,12.4,102973649
2024-05-31,12.45,13.48,12.13,12.28,117572225
2024-06-30,12.35,12.72,12.13,12.26,103488479
2024-07-31,12.4,13.05,12.08,12.97,96342194
2024-08-31,12.95,12.97,11.81,12.81,90116919
2024-09-30,12.81,13.82,12.79,13.355,96914561
2024-10-31,13.365,13.405,12.285,12.415,88017588
2024-11-30,12.38,12.6,11.475,12.185,129403006
2024-12-31,12.22,12.34,11.01,11.245,107121940
2025-01-31,11.32,11.58,10.435,11.42,128479798
