Date,Open,High,Low,Close,Volume
2015-09-30,59.997,61.8603,53.7286,55.411,13975680
2015-10-31,58.0884,62.195,54.8955,61.3085,13108481
2015-11-30,60.612,68.4904,60.612,68.1648,12366445
2015-12-31,68.6442,69.2141,63.1357,68.4,10947447
2016-01-31,67.2512,68.3909,56.7678,61.1367,15421746
2016-02-29,61.6884,63.1718,52.6161,61.2452,16837307
2016-03-31,61.209,68.798,61.0733,68.0653,13544821
2016-04-30,67.0703,72.3527,64.8452,70.1819,11978595
2016-05-31,70.2543,72.2713,67.5933,70.7205,11609620
2016-06-30,70.8217,70.9412,60.4559,62.0563,13403671
2016-07-31,62.1943,70.5089,59.8949,69.6628,11140915
2016-08-31,70.0859,77.3336,66.9403,76.5886,10727713
2016-09-30,76.7265,78.5569,71.254,77.3428,13714541
2016-10-31,77.2784,80.1756,76.3126,79.2467,9401924
2016-11-30,79.4674,87.0003,75.7792,77.8211,16661400
2016-12-31,77.3704,81.8404,75.8804,81.5185,10431091
2017-01-31,81.4541,84.9124,77.2876,81.9876,11487254
2017-02-28,82.567,83.7627,77.5083,81.1322,13608888
2017-03-31,81.6289,84.6089,78.5845,80.7183,13396367
2017-04-30,81.1598,81.8956,76.8921,78.1798,9114359
2017-05-31,78.5661,82.8889,75.7772,77.6318,15373796
2017-06-30,77.6505,82.0248,76.2455,79.2897,13853650
2017-07-31,80.011,82.6899,77.4445,78.5123,12940253
2017-08-31,76.948,80.3575,72.0679,75.543,14478454
2017-09-30,75.9083,81.5752,75.2339,81.4628,12009597
2017-10-31,81.6782,82.4651,77.2571,81.9311,10785039
2017-11-30,82.7929,88.132,79.3834,83.7108,18932899
2017-12-31,83.8139,85.912,82.2965,84.5351,9956596
2018-01-31,84.8255,90.0709,81.697,81.7532,14389938
2018-02-28,82.1466,82.3901,75.646,77.5007,15572279
2018-03-31,77.4632,78.6434,72.8735,74.7281,13382905
2018-04-30,73.9413,76.8825,72.7236,76.1144,11706589
2018-05-31,75.3276,79.8611,71.4748,72.644,17368482
2018-06-30,72.8932,76.4008,68.5231,69.0789,16153547
2018-07-31,68.2356,71.0532,66.108,69.5964,14554116
2018-08-31,69.5773,69.9606,65.1113,65.7246,13705300
2018-09-30,65.4946,67.603,62.0254,64.5171,16339601
2018-10-31,64.6704,65.418,52.595,57.5019,25021985
2018-11-30,57.5019,62.2937,55.3551,56.256,17771492
2018-12-31,57.0227,58.6519,49.6816,51.1575,16618605
2019-01-31,51.0425,59.2269,49.95,57.8469,17569172
2019-02-28,58.0002,62.8879,55.7001,61.9487,18110465
2019-03-31,62.6195,63.4629,60.1853,61.4887,16319325
2019-04-30,62.0637,70.459,61.9295,69.0023,17691669
2019-05-31,69.4623,70.2673,65.1374,65.7698,17439154
2019-06-30,65.4733,71.1254,65.0188,70.3152,13830009
2019-07-31,71.8171,72.1531,64.4852,64.8409,15941418
2019-08-31,64.2085,64.2678,57.509,62.2916,18083452
2019-09-30,61.8173,69.0108,60.8094,65.5326,16950722
2019-10-31,66.0069,66.58,59.1493,65.8291,17152494
2019-11-30,66.0464,68.161,62.667,66.3034,15945144
2019-12-31,66.3231,69.1887,63.4378,64.1888,13300983
2020-01-31,63.9516,65.6512,60.4339,60.5524,16324307
2020-02-29,60.4141,64.6038,52.351,53.2008,17814222
2020-03-31,54.1494,54.1889,28.6557,38.6259,43941348
2020-04-30,37.5883,45.2463,35.9382,42.865,26356632
2020-05-31,41.4124,46.9756,38.369,44.1001,22851222
2020-06-30,45.9479,52.82,44.04,47.54,28204086
2020-07-31,47.15,54.1,46.2,47.2,21311734
2020-08-31,47.61,53.78,47.21,53.22,13342935
2020-09-30,53.52,56.76,49.35,52.32,18512926
2020-10-31,52.98,57.96,47.35,49.12,15483527
2020-11-30,49.65,61.62,49.17,59.54,20212781
2020-12-31,59.78,63.2,57.66,61.22,13538609
2021-01-31,62.52,69.7,59.7,61.02,16956047
2021-02-28,61.36,67.96,60.92,65.48,13142284
2021-03-31,66.28,78.96,66.28,77.46,15578268
2021-04-30,77.22,81.04,76.22,76.22,10665883
2021-05-31,76.38,78.58,71.98,74.66,11465561
2021-06-30,75.1,76.68,70.34,72.34,10440721
2021-07-31,72.96,76.98,69.68,74.78,13026915
2021-08-31,75.46,76.92,71.44,73.6,9253506
2021-09-30,74.36,74.5,63.02,64.78,15658906
2021-10-31,63.6,66.46,61.46,65.14,14919133
2021-11-30,65.3,66.7,57.2,59.14,18680680
2021-12-31,59.78,62.38,56.6,59.52,11840607
2022-01-31,60.02,65.74,59.48,61.26,12092916
2022-02-28,63.44,68.08,55.48,58.14,16770479
2022-03-31,57.86,59.42,47.01,51.66,24558785
2022-04-30,51.84,55.7,48.8,55.26,16071775
2022-05-31,54.92,56.72,50.32,54.1,16458985
2022-06-30,54.66,54.8,44.42,45.84,15562859
2022-07-31,45.3,50.5,43.4,49.5,14404050
2022-08-31,48.85,51.88,43.12,45.1,10159086
2022-09-30,44.64,48.98,38.73,40.85,13247194
2022-10-31,40.23,47.12,39.76,46.65,12350174
2022-11-30,47,53.2,44.87,52.12,9786595
2022-12-31,52.88,54.36,50.6,53.28,7696217
2023-01-31,53.4,63.06,53.4,62.8,10196868
2023-02-28,63,66.26,61.88,65.12,9809656
2023-03-31,65.62,67.58,58.48,67.26,12091176
2023-04-30,67.28,70.96,64.6,68.56,8376088
2023-05-31,68.5,70.8,66.66,66.88,9364261
2023-06-30,68.28,75.76,67.5,75.2,8572201
2023-07-31,75.66,75.96,67.24,73.7,8984887
2023-08-31,73,77.78,72.96,74.28,9374939
2023-09-30,74.8,75.28,70.62,73.52,9322183
2023-10-31,73.36,75.06,65.24,68.48,11717056
2023-11-30,68.78,75.1,66.2,74.8,8210101
2023-12-31,75.1,82.78,74.86,80.94,6991036
2024-01-31,81,88.14,78.58,85.88,7081137
2024-02-29,85.64,90.66,81.94,89.7,9643139
2024-03-31,90,102.45,86.48,101.95,8424001
2024-04-30,101.5,102.3,90.76,94.64,8281491
2024-05-31,94.1,103.6,93.94,95.72,8440477
2024-06-30,96.86,99.48,92.88,96.82,7061542
2024-07-31,97.56,103.45,93.78,96.48,7000415
2024-08-31,95.12,95.94,85.6,95.66,7235665
