Date,Open,High,Low,Close,Volume
2015-09-30,72.2358,76.4664,71.0305,74.0477,3796061
2015-10-31,74.6302,85.6637,71.3217,85.0975,3895020
2015-11-30,84.329,90.0723,82.0641,89.5869,4207501
2015-12-31,90.0723,91.0834,83.6819,85.4615,3362875
2016-01-31,83.7628,84.5312,75.0265,78.1408,3788503
2016-02-29,78.8689,79.1439,67.6573,76.6848,4225457
2016-03-31,76.6605,84.1268,74.6059,82.8325,4086761
2016-04-30,81.8618,86.1086,79.7182,80.5514,2849474
2016-05-31,80.8911,86.495,79.7587,85.986,3541014
2016-06-30,85.6466,85.986,70.4177,79.589,3871472
2016-07-31,80.4204,81.693,75.1858,77.6461,2517215
2016-08-31,78.2655,80.6919,70.5789,77.714,3297484
2016-09-30,77.3153,83.1947,77.2474,80.887,2865424
2016-10-31,80.8955,86.8344,78.1212,86.1556,2952854
2016-11-30,86.5374,90.2704,81.5912,84.9679,3135587
2016-12-31,84.8321,88.7433,83.4068,87.2162,2376565
2017-01-31,86.5374,89.6765,84.9679,86.2405,2566623
2017-02-28,86.5374,91.8824,86.1556,90.4401,2744747
2017-03-31,91.1188,92.5611,88.2767,91.7551,2950507
2017-04-30,91.9672,94.5549,90.737,93.4095,2256601
2017-05-31,93.4095,98.8393,91.7423,94.0037,3599713
2017-06-30,94.1367,96.7085,92.2744,93.0725,2442334
2017-07-31,93.2055,97.4623,93.1168,94.6244,1981568
2017-08-31,94.8905,97.7727,88.2748,90.279,3119970
2017-09-30,90.6337,91.1215,83.9382,90.412,4089050
2017-10-31,90.8998,97.9944,90.412,95.4669,3668478
2017-11-30,96.3981,99.2359,93.9593,97.9057,3880054
2017-12-31,97.7727,98.0387,92.8951,93.0282,2801550
2018-01-31,93.5603,100.3,92.4961,97.6397,3080695
2018-02-28,97.9944,100.92,94.181,99.2359,3693735
2018-03-31,99.2359,102.517,94.5358,98.3491,4455927
2018-04-30,97.9057,105.443,97.3736,103.404,3460220
2018-05-31,103.315,108.37,99.9539,99.9539,4261596
2018-06-30,100.879,104.118,97.4551,98.8433,3949014
2018-07-31,98.1029,105.877,97.3625,105.506,2798319
2018-08-31,105.784,109.671,103.47,109.486,3137391
2018-09-30,109.486,113.373,108.468,112.633,3276009
2018-10-31,112.54,115.687,105.044,110.227,4131667
2018-11-30,110.227,116.612,109.856,113.558,3831100
2018-12-31,115.224,115.965,105.136,108.931,2827640
2019-01-31,108.005,120.037,105.969,116.52,3702391
2019-02-28,116.89,121.98,115.965,121.24,3000869
2019-03-31,122.073,122.998,115.594,118.463,4276240
2019-04-30,119.574,125.867,119.019,124.387,3006627
2019-05-31,124.387,132.647,120.87,129.182,4183477
2019-06-30,128.412,137.942,127.93,136.883,3007626
2019-07-31,137.653,142.466,134.765,136.401,2736423
2019-08-31,135.631,144.199,130.914,139.385,3004322
2019-09-30,139.578,149.878,139.578,149.3,2553536
2019-10-31,150.263,154.787,146.124,152.862,2800678
2019-11-30,152.862,163.258,152.092,162.199,3481821
2019-12-31,162.296,169.708,159.311,165.857,2476264
2020-01-31,165.665,173.173,164.702,168.938,2555350
2020-02-29,168.841,185.591,153.536,154.98,3442953
2020-03-31,157.675,162.777,94.5764,126.101,8498855
2020-04-30,122.829,146.894,119.267,140.059,4382262
2020-05-31,136.209,150.9,127.5,144.6,3839632
2020-06-30,148,166.8,147.2,153.4,3883013
2020-07-31,151.5,160,140.9,143.4,2453408
2020-08-31,143.5,148.9,136.6,142.6,2452535
2020-09-30,143.9,148.8,125.6,132.2,3472514
2020-10-31,133.5,139.1,120.7,124.7,3068297
2020-11-30,125.4,150.9,125.2,140.3,4590510
2020-12-31,141.5,146.2,126.7,130.3,3135353
2021-01-31,131.5,138.6,127.2,128,3209297
2021-02-28,129.1,145.1,128.1,140.3,2751282
2021-03-31,141.3,157.7,141.1,155.8,3152819
2021-04-30,155.9,158.25,151.95,153.8,2396912
2021-05-31,154.8,156.3,142.4,143.1,2675859
2021-06-30,143.4,148.15,140,141.1,2487430
2021-07-31,142.05,148.15,136.4,141.9,2160693
2021-08-31,142.6,158.45,139.45,155.95,1812671
2021-09-30,156.45,162.85,150.1,151.35,3088140
2021-10-31,149.5,159.25,148.2,158,1875424
2021-11-30,158.25,165.9,152.35,154.65,1957197
2021-12-31,156.3,168.45,156.3,167.15,1620731
2022-01-31,165.5,180.1,162.35,178,2062808
2022-02-28,179.1,181.7,159.8,164.8,2721952
2022-03-31,164.5,165.65,134.65,154.35,5320765
2022-04-30,154.5,155.5,143.3,148.9,2794607
2022-05-31,147.95,151.8,136.8,142.4,3235807
2022-06-30,143.2,145.3,131.35,138.5,3094665
2022-07-31,137.55,144.05,131.5,138.3,2688150
2022-08-31,138.1,153.5,136.2,146.9,2399138
2022-09-30,146.25,165.7,143.3,154.2,3099956
2022-10-31,152.8,166.55,149.9,164.8,2659675
