Date,Open,High,Low,Close,Volume
2015-09-30,8.80839,9.48674,8.23194,9.22972,186425271
2015-10-31,9.36741,10.9783,8.92405,10.2761,148324321
2015-11-30,10.1981,12.9702,9.96406,12.8784,133911753
2015-12-31,12.8968,13.0299,11.9238,12.3965,119910290
2016-01-31,12.1211,12.1487,10.3679,11.2721,141819758
2016-02-29,11.5061,11.5291,9.2848,10.7108,150080280
2016-03-31,10.7251,12.0704,10.649,11.8898,120059222
2016-04-30,11.6949,12.3557,11.4714,11.8137,99264561
2016-05-31,11.8945,12.8358,11.2005,12.8168,96582848
2016-06-30,12.7598,13.1686,11.4096,12.3367,114522182
2016-07-31,12.4508,14.3666,11.0626,14.0719,101169406
2016-08-31,14.2478,14.7993,12.8929,14.3524,83373877
2016-09-30,14.3381,15.0988,13.3493,15.0988,85712869
2016-10-31,15.0227,15.6597,14.7375,15.5504,69470418
2016-11-30,15.6407,16.1922,14.1765,15.0037,110302700
2016-12-31,14.8991,15.9497,14.3857,15.6978,79651140
2017-01-31,15.6407,16.3966,15.2747,16.1542,76994498
2017-02-28,16.1447,17.0812,15.8547,16.1798,97373794
2017-03-31,16.2761,18.5201,16.1702,18.4382,104616810
2017-04-30,18.5201,18.549,17.4896,18.2986,71401742
2017-05-31,18.3179,19.2039,17.8363,18.9631,91963900
2017-06-30,18.9631,19.7288,17.5811,17.8026,103082915
2017-07-31,17.8604,18.9583,17.1718,17.7063,95121589
2017-08-31,17.5474,18.7609,17.504,18.6549,83096080
2017-09-30,18.6983,20.4848,18.6983,20.4848,68966841
2017-10-31,20.6485,22.7432,20.6341,22.6373,76337907
2017-11-30,23.1622,24.5057,21.7898,22.3436,135858922
2017-12-31,22.2617,22.4784,21.0819,21.992,85315045
2018-01-31,22.1028,24.5587,21.679,22.5458,115949948
2018-02-28,22.6614,22.6903,20.2922,21.8177,122776338
2018-03-31,21.73,23.3371,20.6391,21.1748,119720523
2018-04-30,20.7365,21.7105,19.7333,20.7268,107359258
2018-05-31,20.7755,23.9215,20.756,22.8793,105484116
2018-06-30,22.9378,25.0903,20.5028,21.2625,142798008
2018-07-31,20.7463,22.704,20.2106,22.0709,116462013
2018-08-31,22.7235,22.7332,20.3372,21.3502,100316740
2018-09-30,21.2722,21.4378,17.795,19.0612,136514742
2018-10-31,19.0856,20.2592,15.3454,17.2496,207599058
2018-11-30,17.3226,18.6765,15.8811,18.0142,186418389
2018-12-31,19.7236,19.7236,16.1003,16.9136,123048250
2019-01-31,16.8941,19.4606,15.9249,18.9103,135112365
2019-02-28,18.9249,20.0477,18.3697,19.065,105560056
2019-03-31,19.2428,19.7909,16.8825,17.4652,127050281
2019-04-30,17.7762,21.3463,17.7723,20.7637,107759553
2019-05-31,20.7686,20.9068,15.5878,15.8841,161463552
2019-06-30,15.2086,15.5345,13.2532,15.3567,230398819
2019-07-31,16.3936,18.0054,15.4396,16.8084,150989578
2019-08-31,17.1659,17.3062,14.4896,15.5522,153465506
2019-09-30,15.5977,18.4142,15.2816,16.3067,131770147
2019-10-31,16.4608,18.1574,15.0881,17.162,173403114
2019-11-30,17.1679,19.7435,17.0237,19.147,144726759
2019-12-31,19.1885,21.0303,18.6256,20.0575,96425013
2020-01-31,19.9538,21.8253,19.1825,19.3327,116666849
2020-02-29,19.386,22.7783,18.098,18.794,176511598
2020-03-31,19.42,19.532,10.132,13.43,338055407
2020-04-30,12.96,17.926,12.592,16.95,209333947
2020-05-31,16.118,20.45,15.664,18.856,187382926
2020-06-30,19.68,21.78,18.67,20.875,167078995
2020-07-31,20.625,23.6,20.325,21.13,119760133
2020-08-31,21.39,24.12,21.19,23.16,94842074
2020-09-30,23.5,24.87,22.465,24.115,105250523
2020-10-31,24.8,28.33,23.375,23.9,111828702
2020-11-30,24.035,29.945,23.955,29.52,105904237
2020-12-31,29.45,32.03,28.55,31.39,99597628
2021-01-31,32,35.92,31.03,33.125,124062676
2021-02-28,32.83,36.775,32.83,36,103279958
2021-03-31,36.86,36.96,31.61,36.155,169900199
2021-04-30,36.59,37.305,32.91,33.565,85986043
2021-05-31,33.665,34.31,29.79,33.265,106177543
2021-06-30,33.42,34.795,31.765,33.82,76487486
2021-07-31,34.1,34.23,30.215,32.135,88362987
2021-08-31,32.73,37.16,31.605,36.065,83906890
2021-09-30,36.42,38.5,35.02,35.525,85840060
2021-10-31,34.985,40.435,33.96,40.395,83924188
2021-11-30,40.62,43.845,39.18,39.93,92200514
2021-12-31,40.725,42.89,37.55,40.76,79822026
2022-01-31,40.85,41.415,34.025,36.335,102593917
2022-02-28,36.855,37.265,28.45,30.745,128649696
2022-03-31,30.48,33.26,25.69,30.985,149147300
2022-04-30,31.015,31.245,26.115,27.45,97394426
2022-05-31,27.29,29.99,25.235,28.94,109243140
2022-06-30,29.005,29.8,22.635,23.09,97002993
2022-07-31,22.35,27.015,20.675,26.55,91264630
2022-08-31,26.41,29.505,23.895,24.3,90988951
2022-09-30,23.95,26.135,21.87,22.71,90135456
2022-10-31,22.335,26.42,22.08,24.64,85294074
2022-11-30,24.9,33.055,24.005,31.52,108685537
2022-12-31,32.875,33.65,27.94,28.43,70315709
2023-01-31,28.635,34.475,28.605,32.915,75622856
2023-02-28,33.15,36.93,33.115,33.515,76719281
2023-03-31,34.05,37.97,32.21,37.68,103689974
2023-04-30,37.4,37.645,31.51,32.905,67792643
2023-05-31,33.89,36.375,31.98,34.73,78664567
2023-06-30,34.98,39.16,34.75,37.79,79833358
2023-07-31,37.9,40.27,34.62,40,65090587
2023-08-31,39.97,39.98,31.48,33.02,97056897
2023-09-30,33.01,33.67,30.48,31.36,71625629
2023-10-31,31.66,33.28,27.07,27.48,88594563
2023-11-30,27.55,36.48,27.09,35.55,104180976
2023-12-31,35.67,39.35,35.59,37.8,70209057
2024-01-31,37.8,38.03,32.37,33.75,83695806
2024-02-29,33.7,34.92,31.71,33.1,103280144
2024-03-31,33.6,35.42,30.66,31.52,105697652
2024-04-30,31.55,34.44,29.66,32.72,108572728
2024-05-31,32.19,38.6,31.34,36.83,98780439
2024-06-30,37.44,38.81,32.97,34.31,75251707
2024-07-31,34.87,36.26,30.11,32.05,74604529
2024-08-31,32.35,33.14,27.8,33,74119532
2024-09-30,32.82,32.94,28.37,31.46,80648998
2024-10-31,31.525,31.79,28.895,29.025,83558787
2024-11-30,29.095,31.65,28.05,30.815,90835579
2024-12-31,30.575,33.76,30.28,31.4,68232980
2025-01-31,31.325,35.03,30.53,32.055,82752389
2025-02-28,30.855,39.43,30.555,35.51,99535653
2025-03-31,35.475,37.1,29.75,30.395,102137829
2025-04-30,30.97,31.23,23.17,28.89,141455385
2025-05-31,29.17,35.865,29.065,34.275,102598286
2025-06-30,33.645,37.195,33.155,36.115,82261183
2025-07-31,35.835,38.715,33.78,34.635,88152417
2025-08-31,34.19,37.41,33.39,34.96,61621799
2025-09-30,34.84,35.12,30.82,33,64002938
