Date,Open,High,Low,Close,Volume
2022-02-28,70.54,77.9,67.85,70.5,59943807
2022-03-31,69.5,70.49,54.67,63.81,123831442
2022-04-30,64.01,67.53,60.62,67.1,68952339
2022-05-31,61.79,67.42,60.31,66.2,72040384
2022-06-30,66.91,68.42,54.42,55.22,70551760
2022-07-31,54.66,57.74,50.19,57.22,67439111
2022-08-31,57.35,61.66,54.28,56.12,48715596
2022-09-30,55.8,60,50.98,52.35,60030080
2022-10-31,52.32,59.35,50.65,58.6,49478278
2022-11-30,58.99,65.83,56.52,64.4,54652749
2022-12-31,65.22,65.68,60.72,61.4,40351796
2023-01-31,61.96,69.24,61.89,68.15,45103815
2023-02-28,68.51,75.55,68.23,72.65,48171070
2023-03-31,73.15,75.92,67.02,70.78,66660531
2023-04-30,70.81,71.31,67.4,70.58,48812514
2023-05-31,71.2,72.08,64.51,69.77,65739100
2023-06-30,70.31,76.1,69.93,73.67,53756771
2023-07-31,73.95,74.47,68.77,72.64,44416535
2023-08-31,72.79,72.84,66.39,67.54,50106187
2023-09-30,67.74,69.5,64.68,65.89,51502272
2023-10-31,66.5,66.53,55.08,55.43,62651746
2023-11-30,55.86,59.78,55.34,59.58,56713806
2023-12-31,59.67,65.32,59.46,62.55,45178717
2024-01-31,62.75,64.06,58.84,62.85,53307708
2024-02-29,62.87,74.27,62.75,73.64,59160914
2024-03-31,74.17,75.07,71.06,73.81,52378212
2024-04-30,74.2,77.45,70.41,70.94,59268887
2024-05-31,71,73.68,64.7,66.4,75191417
2024-06-30,66.78,67.1,62.73,64.57,75419955
2024-07-31,65.57,66.28,60.87,61.16,56528588
2024-08-31,60.34,63.24,55.91,62.34,60461140
2024-09-30,62.52,62.56,54.05,58.04,72034368
2024-10-31,58.15,59.68,55.64,55.7,52498754
2024-11-30,55.6,56.78,50.75,52.96,63601039
2024-12-31,52.32,57.23,52,53.8,49094317
2025-01-31,53.6,59.46,52.01,58.92,53855751
2025-02-28,56.56,62.23,55.79,59.77,55334707
2025-03-31,59.5,63.17,53.55,54.19,71386027
2025-04-30,54.72,55.57,45.6,52.47,78835786
2025-05-31,53.55,54.92,49.76,52.59,58458633
2025-06-30,51.84,53,47.9,49.69,44100028
2025-07-31,49.185,56.84,48.495,50.1,51857247
2025-08-31,50.01,55.37,48.685,53.35,33349454
2025-09-30,53.58,53.95,49.765,50.79,33161681
