Date,Open,High,Low,Close,Volume
2015-09-30,77.5661,79.8246,70.6888,73.2065,11727421
2015-10-31,73.9377,82.9717,69.0505,82.222,11521006
2015-11-30,81.4537,90.4691,80.6114,89.7287,11037551
2015-12-31,90.2748,90.9042,79.2785,82.9069,10213285
2016-01-31,81.1668,81.1668,71.67,74.1229,9390478
2016-02-29,74.743,74.8541,65.4221,72.5771,10121826
2016-03-31,72.7252,74.8541,67.5695,67.8565,12607575
2016-04-30,67.1623,77.5939,65.8572,75.9648,12794236
2016-05-31,76.2836,84.919,73.3958,84.3376,11181020
2016-06-30,84.2439,86.2316,76.8837,85.369,10809803
2016-07-31,85.7159,92.9918,83.7001,92.598,7971374
2016-08-31,93.7606,94.0888,88.1725,88.4537,8121086
2016-09-30,88.9507,91.9885,86.9442,89.9258,7950933
2016-10-31,90.2258,93.273,87.5068,87.8162,8239428
2016-11-30,88.0693,92.2604,84.3845,88.6413,10767933
2016-12-31,88.51,94.1825,85.3971,92.9636,8117072
2017-01-31,92.9636,97.4641,92.9636,95.3076,8091227
2017-02-28,95.6358,97.2297,93.3762,96.7141,8141959
2017-03-31,97.2766,100.323,92.1667,100.136,10518553
2017-04-30,100.511,101.917,96.1984,101.073,6627360
2017-05-31,102.116,109.228,98.7983,101.879,8655109
2017-06-30,102.875,106.81,99.6043,100.268,7698348
2017-07-31,101.168,101.168,87.9798,88.0367,9818950
2017-08-31,87.8471,89.7055,85.3724,87.4773,11322853
2017-09-30,87.7997,95.7168,86.3774,89.2409,14631336
2017-10-31,89.971,92.0095,85.6473,87.1265,10108735
2017-11-30,88.1789,89.3452,83.3433,84.794,13450954
2017-12-31,85.2681,87.5531,82.708,85.0974,9473278
2018-01-31,84.8793,89.3926,83.3812,83.4571,11172491
2018-02-28,83.5519,83.6467,76.7251,77.9578,12671584
2018-03-31,77.4647,77.7492,70.6759,73.8617,15553103
2018-04-30,73.1411,79.0955,72.7049,78.1897,10631437
2018-05-31,77.9587,86.1993,76.3028,84.0814,15705660
2018-06-30,84.5627,85.8527,78.1705,80.5002,11799266
2018-07-31,79.3064,85.5447,79.1717,84.6012,8981335
2018-08-31,84.7168,89.5687,83.1764,87.1042,11699863
2018-09-30,87.0272,87.7974,82.0405,85.6794,9314625
2018-10-31,85.6794,91.6096,81.8864,91.0898,15360266
2018-11-30,91.109,95.6914,88.0862,93.7275,12757945
2018-12-31,94.4977,96.4616,85.2944,86.6229,9201221
2019-01-31,85.949,90.0501,84.582,88.1632,10645463
2019-02-28,88.4135,94.3052,86.4111,87.393,11337597
2019-03-31,88.6445,98.0019,87.9707,97.8575,12570652
2019-04-30,98.0982,99.0609,89.9345,92.5499,11150283
2019-05-31,91.8866,95.6714,84.0831,84.3367,11422748
2019-06-30,83.966,92.8231,83.7319,89.7016,9812997
2019-07-31,90.4625,94.3448,89.1749,90.1699,9404342
2019-08-31,90.521,94.9885,89.1359,94.8715,8953923
2019-09-30,94.5789,103.25,90.5991,100.811,11304600
2019-10-31,101.446,105.055,96.9784,104.274,9193803
2019-11-30,104.86,107.64,101.104,103.396,10326486
2019-12-31,103.543,104.079,99.5926,102.762,9553136
2020-01-31,103.299,117.833,102.519,113.053,11145317
2020-02-29,112.956,122.856,105.055,106.372,12256088
2020-03-31,107.298,118.516,74.3482,91.3209,25901444
2020-04-30,88.3165,107.81,85.3512,104.798,12162566
2020-05-31,102.081,107.168,98.773,103.15,9970527
2020-06-30,104.9,108.25,98.2,103.3,13877532
2020-07-31,103.9,117.9,102.1,108.05,11526512
2020-08-31,108.15,116.3,108.15,113.65,7268670
2020-09-30,114.65,128.65,114.05,124.55,9410209
2020-10-31,125.5,137.25,121.25,127.15,10233538
2020-11-30,130.25,140.35,127,133.85,11153663
2020-12-31,134.35,140.35,132.85,140.35,7451352
2021-01-31,142.8,149.95,134.75,137.7,9216347
