Date,Open,High,Low,Close,Volume
2015-09-30,129.417,134.516,128.421,132.843,19364389
2015-10-31,134.117,145.35,129.258,144.593,14364548
2015-11-30,143.478,152.281,140.849,151.962,13238207
2015-12-31,153.157,154.273,142.642,147.023,16211805
2016-01-31,144.115,144.115,134.077,140.889,15620047
2016-02-29,141.287,145.191,128.541,144.633,17129028
2016-03-31,144.553,149.254,140.291,142.403,14165714
2016-04-30,141.048,147.382,135.44,135.44,14954135
2016-05-31,136.068,142.34,129.335,141.211,12904047
2016-06-30,140.5,142.089,119.425,125.656,19927535
2016-07-31,126.826,127.454,117.836,124.777,12074750
2016-08-31,126.074,136.193,122.394,135.524,11284059
2016-09-30,135.9,143.72,133.141,138.827,12605896
2016-10-31,138.995,150.034,135.859,147.692,11600176
2016-11-30,148.278,150.536,138.451,143.72,13925868
2016-12-31,143.093,150.369,140.876,150.243,10346511
2017-01-31,149.407,151.916,145.225,145.351,10672208
2017-02-28,146.312,151.205,143.553,149.198,10645763
2017-03-31,149.992,153.881,147.274,153.379,13727757
2017-04-30,154.216,158.748,150.87,154.148,11741922
2017-05-31,155.068,158.485,149.373,153.973,11443918
2017-06-30,154.367,158.529,152.396,154.674,11582473
2017-07-31,156.47,159.974,154.323,159.01,9814254
2017-08-31,159.668,164.574,149.417,151.914,12918053
2017-09-30,152.44,158.879,145.957,158.485,14401902
2017-10-31,159.448,171.188,157.959,168.253,11199399
2017-11-30,170.181,174.342,163.785,163.785,12679971
2017-12-31,164.267,166.37,158.047,158.353,10658500
2018-01-31,159.01,170.181,156.995,166.063,12165391
2018-02-28,167.158,167.552,153.491,161.288,15604076
2018-03-31,160.719,169.699,154.455,165.45,16223596
2018-04-30,164.355,175.481,162.997,173.986,13889593
2018-05-31,173.986,178.52,161.254,161.483,13805062
2018-06-30,163.04,170.734,160.155,165.834,15124787
2018-07-31,163.864,174.81,162.994,173.803,11320783
2018-08-31,174.444,174.581,164.826,170.184,11261150
2018-09-30,170.001,177.421,165.101,174.718,9622647
2018-10-31,174.306,180.26,165.971,173.986,14177142
2018-11-30,173.39,180.901,171.742,175.772,13021395
2018-12-31,177.879,179.619,168.994,174.535,10696937
2019-01-31,173.665,181.771,169.864,178.153,11617593
2019-02-28,178.52,191.252,177.512,189.694,10853805
2019-03-31,190.519,200.045,188.046,193.267,11412980
2019-04-30,195.19,205.174,193.725,204.258,10892045
2019-05-31,205.357,211.091,194.559,206.504,13815784
2019-06-30,205.357,216.633,204.497,210.9,11020753
2019-07-31,213.671,218.64,206.982,208.128,11005798
2019-08-31,207.555,211.855,199.815,208.224,12645111
2019-09-30,207.555,227.718,207.555,226.858,9818212
2019-10-31,227.336,241.001,222.271,237.943,10561759
2019-11-30,238.898,250.366,237.37,249.028,9929905
2019-12-31,249.792,256.099,243.772,251.321,8757241
2020-01-31,251.321,261.164,247.977,254.475,8853860
2020-02-29,254.761,271.58,212.333,220.455,12006717
2020-03-31,220.742,236.032,134.834,175.925,34587848
2020-04-30,169.14,212.5,162.737,200.8,18345385
2020-05-31,195.3,214.7,173.45,204.6,13717279
2020-06-30,210.6,242.5,209.1,231.4,14401853
2020-07-31,228.7,245.2,222.5,224.8,8172470
2020-08-31,225.5,250.3,219.6,241.7,7907425
2020-09-30,243.4,255.8,212.4,216.6,9609800
2020-10-31,219.6,223.6,194.1,200.8,9421406
2020-11-30,202.3,244.8,200.5,233.6,12061901
2020-12-31,235.1,252.9,230.4,242.8,8415097
2021-01-31,245.6,247.5,218.8,218.8,8702327
2021-02-28,222,250.2,221.1,243,6976445
2021-03-31,245.1,267.1,244.2,262.6,9486361
2021-04-30,262.9,269.3,239.45,240.65,8719381
2021-05-31,241.2,250,232.05,236.15,7888889
2021-06-30,237.05,244,229.4,230.95,6971898
2021-07-31,232.65,235.7,215.25,227.9,7344568
2021-08-31,229.15,259.5,222.95,247.45,6995285
2021-09-30,249.55,251.85,228.15,236.9,6848417
2021-10-31,234.1,256.4,232.55,256.2,5682919
2021-11-30,256.7,263.7,235.05,238.35,7715735
2021-12-31,241.45,263.1,241.35,260.5,6199447
2022-01-31,261.15,282,258.05,279.05,6762215
2022-02-28,280,282.25,239.1,247.15,9852141
2022-03-31,245.75,249.2,205.15,242.3,15275815
2022-04-30,243.2,245.2,226.4,227.3,8057646
2022-05-31,226,230.6,213.1,227.7,10146801
2022-06-30,229.7,230.8,214,224.2,8196334
2022-07-31,222.8,232.5,212.7,221.1,6797691
2022-08-31,221.3,242.1,218.1,238.2,6736869
2022-09-30,236.5,268.7,231.1,247.5,10361437
2022-10-31,243.5,270.1,236.1,267.4,8354097
2022-11-30,269.8,304.4,267.6,301.2,7599871
2022-12-31,301.4,310.2,296.3,304,7253888
2023-01-31,304,336,301,331,6171677
2023-02-28,324.5,332.8,304.2,326.1,7828436
2023-03-31,326.8,332.2,292.4,322.5,9049676
2023-04-30,322.4,340.5,317.7,340.5,4618539
2023-05-31,342.7,342.9,318.8,334,8045063
2023-06-30,334.2,346.9,321.2,343.6,6263467
2023-07-31,343.6,350.4,324.7,342.6,4626896
2023-08-31,342.6,362.2,335.3,358.2,5503398
2023-09-30,358.5,381.2,351.8,369.1,6389510
2023-10-31,369.4,384,365.5,378.5,5549652
2023-11-30,381.5,392.3,364.6,390.8,5931237
2023-12-31,393.2,400.4,373.7,375.1,5680010
2024-01-31,377.6,400.3,374.1,394.2,5811295
2024-02-29,391.2,434.4,389,430.4,5095888
2024-03-31,432.6,454.1,424.8,452.3,5952029
2024-04-30,452.3,453.9,408.2,412.2,5676202
2024-05-31,413.5,465.8,401.7,457.9,6329990
2024-06-30,459.2,472.3,450.1,467,4804809
2024-07-31,473,473.6,440.3,455.6,5103301
2024-08-31,451.5,491.8,421.7,489.3,4735545
2024-09-30,490,498.8,475.7,494.3,4917557
2024-10-31,490.6,512.8,457,470.2,5532879
2024-11-30,469.5,495,460.8,494.3,5455686
2024-12-31,496.6,526,486.5,487.1,4663895
2025-01-31,489.5,533.6,475.1,522.4,5283920
2025-02-28,517.2,557.8,509.6,546.6,5381815
2025-03-31,547.2,591.2,542.8,582.4,5639316
2025-04-30,583.4,615.8,492,601.6,7457528
2025-05-31,584.4,602.4,549.6,571.4,6841749
2025-06-30,568.2,582.8,546.2,550.6,5136438
2025-07-31,552.4,588,545,575.6,4289339
2025-08-31,568.8,611.8,541.8,544.6,5079314
2025-09-30,546.4,547.8,514.6,520.4,4412747
