Date,Open,High,Low,Close,Volume
2022-09-30,82.9,83.5,82.5,82.5,5079137
2022-10-31,82.5,106,81,103.5,25946349
2022-11-30,105,112.15,97.26,108.8,8440904
2022-12-31,108.7,108.7,91,94.75,9607142
2023-01-31,95.4,109,93.4,109,10143843
2023-02-28,109.6,118.5,108,114.1,7292491
2023-03-31,114.4,119,107.2,118,10574095
2023-04-30,118,120.1,111.05,113.4,4553375
2023-05-31,114.15,120.8,107.35,116.15,6891742
2023-06-30,117.5,120.2,107.15,113.75,6372013
2023-07-31,115,116.4,106.7,111.2,5608840
2023-08-31,111.3,113.6,99.12,101.85,5984595
2023-09-30,101.8,102.65,86.6,89,9270820
2023-10-31,89.7,93.34,81.88,82.54,9087926
2023-11-30,83.14,93.08,82.22,84.06,8700281
2023-12-31,84.54,85.46,79.64,79.9,11473289
2024-01-31,79.96,81.14,72.12,79.12,12556547
2024-02-29,78.9,87.38,78.16,86.34,12053131
2024-03-31,87.36,95.36,78,92.28,13252126
2024-04-30,92.64,96.56,83.7,83.7,10473846
2024-05-31,83.94,86.16,73.04,75.9,13863184
2024-06-30,77.1,78.2,67.88,69.52,14231933
2024-07-31,71.02,76.14,65.66,69.76,16146931
2024-08-31,69.8,71.24,65.12,70.84,9329950
2024-09-30,71.06,75,63.68,71.5,13676252
2024-10-31,71.44,72.3,64.2,64.64,13680828
2024-11-30,64.6,67.46,55.58,59.08,17726449
2024-12-31,58.8,61.9,57.16,58.42,9029367
2025-01-31,58.2,63.32,57.18,61.64,12725830
2025-02-28,59.1,60.62,54.98,56.4,19799285
2025-03-31,56,58.76,45.63,45.95,25788988
2025-04-30,46.4,47.58,40.43,44.09,24873855
2025-05-31,44.5,49.7,41.51,42.46,16365477
2025-06-30,42.07,43.5,39.58,41.94,15414613
2025-07-31,41.54,47.8,40.94,44.64,21064427
2025-08-31,44.58,47.83,42.37,45.35,10330670
2025-09-30,45.5,45.75,39.62,40.53,15451256
