Date,Open,High,Low,Close,Volume
2015-09-30,48.6832,52.9526,45.5037,49.3407,5153458
2015-10-31,49.8001,52.3761,46.9989,51.5745,4429430
2015-11-30,51.2052,57.8434,47.3772,54.1055,6904202
2015-12-31,54.3127,57.6183,52.9166,55.3755,4269730
2016-01-31,54.8171,59.2215,49.4668,59.0864,5521921
2016-02-29,58.7261,60.3024,48.4941,59.2485,5427153
2016-03-31,59.4467,63.3468,58.3478,63.2477,3579805
2016-04-30,62.8424,64.2114,59.1044,61.5363,3113038
2016-05-31,60.7978,61.2661,52.4535,56.5201,4385418
2016-06-30,56.6667,57.0605,43.9814,48.7258,4704849
2016-07-31,49.1471,57.6009,46.6467,57.3536,4535911
2016-08-31,57.8207,60.202,56.3736,59.2953,3014562
2016-09-30,59.6342,61.0904,55.8698,56.7491,2221909
2016-10-31,56.3278,58.9839,55.3386,57.8024,2455196
2016-11-30,58.1596,63.5909,55.0821,61.64,3916406
2016-12-31,61.5484,62.0521,57.207,58.5259,3331710
2017-01-31,58.4435,66.1645,58.3885,64.8823,4081919
2017-02-28,65.4684,67.2087,60.9897,66.0546,3831563
2017-03-31,67.7765,72.1362,65.1296,72.0171,4474933
2017-04-30,72.5392,77.7781,71.0005,77.1645,3651421
2017-05-31,77.1553,81.5901,74.9755,79.5871,4434384
2017-06-30,79.6523,83.8446,77.2395,77.4351,2922656
2017-07-31,78.2549,83.3788,77.0532,78.6276,2478613
2017-08-31,79.643,83.798,78.4133,79.9877,2953139
2017-09-30,80.4535,89.2106,80.1181,88.838,2741960
2017-10-31,89.4342,95.8623,88.8752,94.3251,2246900
2017-11-30,94.9307,100.473,89.6764,99.5887,3107286
2017-12-31,99.8216,102.243,96.002,98.6105,2259489
2018-01-31,98.7969,108.019,97.446,106.11,3048452
2018-02-28,106.901,108.811,92.4154,101.545,3211235
2018-03-31,101.032,109.51,93.673,107.46,4003454
2018-04-30,106.156,111.187,100.753,101.219,2675768
2018-05-31,100.986,109.989,100.939,103.135,2825409
2018-06-30,103.655,106.586,84.5692,89.3904,3457395
2018-07-31,88.067,98.1253,86.7057,97.6526,4144230
2018-08-31,97.9362,98.0307,87.5754,88.7854,3735391
2018-09-30,88.5963,89.6551,81.8845,85.1364,3245800
2018-10-31,84.9285,87.1027,65.171,72.3556,5272378
2018-11-30,72.0531,79.8615,69.1225,77.328,5928216
2018-12-31,81.6198,83.6239,70.2002,72.9417,4357787
2019-01-31,72.6392,87.6321,72.2232,85.628,3590790
2019-02-28,86.1007,90.9786,84.1533,88.8988,2747327
2019-03-31,93.7768,97.6999,85.5524,87.8023,4070560
2019-04-30,88.6909,98.078,88.3695,96.7073,2251489
2019-05-31,96.5182,98.5979,90.4303,92.0175,2997348
2019-06-30,91.1485,105.921,90.6464,103.942,3019344
2019-07-31,105.245,107.031,96.1115,99.8385,3228746
2019-08-31,99.6454,106.838,94.47,103.604,2674924
2019-09-30,103.121,114.515,103.073,112.052,2286421
2019-10-31,112.97,114.225,100.9,104.135,3010878
2019-11-30,104.28,114.225,88.1939,93.3114,4554932
2019-12-31,93.0796,101.335,91.4382,98.873,2077529
2020-01-31,98.873,105.535,93.3886,93.3886,2185891
2020-02-29,93.659,97.9074,76.0858,79.4846,2810193
2020-03-31,86.8614,86.8614,41.741,61.8535,8068996
2020-04-30,59.8645,62.9349,54.438,59.6907,5822574
2020-05-31,58.0299,75.74,55.7512,72.96,5879682
2020-06-30,74.7,81.94,70.12,77.2,4368805
2020-07-31,76,88.4,73.36,80.24,3518299
2020-08-31,80.4,84.68,75.32,77.54,2879823
2020-09-30,78.18,82.42,71.56,76.76,2673890
2020-10-31,76.86,79.54,61.08,62.7,3441553
2020-11-30,63.8,80.52,62.18,74.56,5339891
2020-12-31,76.26,88,75.82,86.58,3625476
2021-01-31,87.64,93.8,85.92,87.34,2635296
2021-02-28,88.3,91.48,82.36,82.62,3297884
2021-03-31,83.5,89.5,81.34,86.4,3726694
2021-04-30,86.92,93.02,82.74,86.7,3732876
2021-05-31,87.04,89.5,81.5,84.9,2959876
2021-06-30,85.46,88,81.86,83.3,2511812
2021-07-31,83.98,84.5,76.82,80.96,2841043
2021-08-31,81.52,85.44,80.52,82.84,2569177
2021-09-30,83.42,85,76.28,84.78,3592189
2021-10-31,83.36,87.78,80.24,83.84,2909749
2021-11-30,84.14,89.28,76.3,78.62,2784721
2021-12-31,79.18,84.04,77.9,83.06,2117383
2022-01-31,83.68,95.24,83.6,92.1,2939191
2022-02-28,92.94,160,90.32,133.6,6003597
2022-03-31,139.35,208.6,134.7,192.85,12986208
2022-04-30,191.4,225,187,214.8,5515401
2022-05-31,213.3,222.4,175.25,188.3,8632222
2022-06-30,189.1,227.9,188.15,220.3,5208133
2022-07-31,221.8,221.8,168.2,178.85,4529826
2022-08-31,181.25,198.5,156.25,158.4,4206024
2022-09-30,156.85,168.5,140.45,158.2,3820785
2022-10-31,158.8,171.5,142.65,164.5,3299943
2022-11-30,167.2,199.35,153.05,194.4,4112383
2022-12-31,194.55,202.7,173.6,186.05,3159348
2023-01-31,186.6,232,186.5,214,5423355
2023-02-28,215.9,257.6,214.6,240.6,4988598
2023-03-31,241.1,277,230.2,273.6,7719037
2023-04-30,275,281.3,256.6,265.5,4937450
2023-05-31,266.4,272.7,233.7,236.4,4756441
2023-06-30,238.4,264.8,232.8,250.8,4225074
2023-07-31,252.3,260.3,238.6,257.4,3262361
2023-08-31,257,271.1,242.6,251.3,4042841
2023-09-30,251.5,267.1,241.2,243.9,3294363
2023-10-31,244.4,278.4,226.5,270.4,4469314
2023-11-30,270.9,295.1,265.8,276,4966819
2023-12-31,277.7,291,277.4,287,3040507
2024-01-31,289.7,337.9,289.3,324.8,5009163
2024-02-29,324.2,428,323,424,7366512
2024-03-31,427,523.8,402,521,9154511
2024-04-30,523.6,571.8,492.5,517.2,10494107
2024-05-31,516.4,550.6,504,527.8,5793747
2024-06-30,531.4,537.4,460.1,475.7,6142189
2024-07-31,477.1,520.6,468.8,503.8,5144124
2024-08-31,505,569,437.5,542,5053418
2024-09-30,543.2,543.2,472.3,486.4,3634318
2024-10-31,485.6,527,465.1,473.2,4812707
2024-11-30,473.5,626.8,463.8,622.4,6419663
2024-12-31,628.4,663.8,593,614.6,4052230
2025-01-31,614,760.2,593.2,755.4,5651193
2025-02-28,750,1012.5,688,1006.5,10619542
2025-03-31,1150,1483,1071,1319,13708758
2025-04-30,1325,1500,933,1499,8344793
2025-05-31,1505,1936,1504.5,1885,6634336
2025-06-30,1920,1944,1649,1797,7592923
2025-07-31,1795,1888.5,1659,1735.5,5083431
2025-08-31,1721,1791,1481,1689.5,5515016
2025-09-30,1699.5,1983,1698,1940,3585684
