Date,Open,High,Low,Close,Volume
2015-09-30,55.1049,55.9141,51.6266,53.8959,68810652
2015-10-31,54.4074,66.8514,52.9565,66.8514,70939184
2015-11-30,66.1724,70.06,66.1724,69.3718,57531553
2015-12-31,70.0321,70.4506,64.517,68.2464,62947535
2016-01-31,66.498,69.5578,64.6379,68.0697,77898218
2016-02-29,68.0232,68.0697,60.0993,65.0471,67641756
2016-03-31,64.8704,67.1118,63.4381,66.1259,51157147
2016-04-30,65.0843,67.0653,61.1595,63.5404,59712637
2016-05-31,63.838,69.2699,61.9221,69.0145,45590972
2016-06-30,68.6645,69.3266,61.4282,63.5281,66539557
2016-07-31,63.793,74.4724,62.6106,74.1697,54494718
2016-08-31,74.6616,75.4373,72.3441,74.5008,37854703
2016-09-30,74.3495,78.1331,72.7508,76.544,48572453
2016-10-31,76.2697,78.1048,73.8008,75.9008,41608027
2016-11-30,76.1373,76.998,71.0104,74.6143,52472608
2016-12-31,74.3495,78.6629,71.436,78.3318,45742271
2017-01-31,77.5561,80.8952,77.2629,80.0534,42631572
2017-02-28,80.4034,84.4141,79.3156,83.1938,36191413
2017-03-31,83.8276,87.0248,83.5627,87.0059,47645181
2017-04-30,87.4883,89.1248,85.2465,87.091,36375788
2017-05-31,87.4316,92.0188,86.6748,91.482,39441329
2017-06-30,91.6258,92.383,86.4976,87.6575,46471357
2017-07-31,87.9738,88.3093,84.8106,85.9609,47488616
2017-08-31,86.421,87.8492,82.6635,84.4464,40508066
2017-09-30,84.6956,88.8652,83.6508,88.846,39188817
2017-10-31,89.1432,94.5205,88.4435,93.6099,37270984
2017-11-30,94.7698,96.5239,90.7248,90.7248,43526843
2017-12-31,91.1465,94.741,88.9611,89.5745,41296596
2018-01-31,89.4787,92.9485,85.6158,87.0632,59414038
2018-02-28,87.7054,88.0696,78.7815,82.6252,69510235
2018-03-31,81.7529,85.6733,78.6473,81.4462,76555007
2018-04-30,80.4781,88.616,79.4429,88.5872,56372804
2018-05-31,89.5266,95.5845,88.6927,93.6977,55576769
2018-06-30,94.4077,102.392,94.0187,96.2361,64042113
2018-07-31,95.3122,102.198,94.7773,97.1114,48374884
2018-08-31,97.0142,102.081,95.3511,100.778,39977924
2018-09-30,100.194,105.543,95.8665,103.092,48268143
2018-10-31,103.112,104.084,86.8411,92.0638,69341040
2018-11-30,91.8012,92.8807,83.8455,88.4264,57163434
2018-12-31,90.1284,90.5855,82.3575,84.5458,50284191
2019-01-31,84.6139,91.3441,81.6475,87.7747,54896902
2019-02-28,88.1151,93.2698,87.4538,91.6164,38615286
2019-03-31,91.7817,100.564,91.6942,100.175,45730187
2019-04-30,100.175,113.868,95.0885,111.437,56110685
2019-05-31,110.484,114.553,106.38,108.836,57169818
2019-06-30,108.028,119.028,106.727,119.028,48465115
2019-07-31,120.822,123.207,106.55,110.118,52391697
2019-08-31,109.033,111.557,102.508,107.042,49054116
2019-09-30,106.51,110.453,104.223,106.333,43181411
2019-10-31,106.826,119.206,101.582,117.096,53627717
2019-11-30,117.195,122.714,117.116,121.709,38502316
2019-12-31,121.63,123.148,117.037,118.594,39425283
2020-01-31,118.003,125.179,115.598,116.13,47973253
2020-02-29,117.214,127.741,107.732,109.96,58307605
2020-03-31,111.379,114.021,80.9524,101.326,162681898
2020-04-30,98.0734,113.213,93.697,107.378,69800266
2020-05-31,104.677,115.28,100.34,113.5,66056395
2020-06-30,116.9,127.78,111.68,124.32,76258052
2020-07-31,122.98,143.2,121.44,133.78,50608895
2020-08-31,134.54,142.88,133.76,138.04,33112885
2020-09-30,139.64,143.32,127.2,132.76,46317430
2020-10-31,134.44,135.62,90.65,91.49,91277134
2020-11-30,92.2,103.34,89.93,101.98,92599292
2020-12-31,102.4,107.94,98.69,107.22,63601038
2021-01-31,108.1,111.94,102.7,104.8,64915423
2021-02-28,106,110.96,100.46,102.06,49603814
2021-03-31,103.32,107.38,101.12,104.42,63964573
2021-04-30,104.96,121,104.7,116.76,49516231
2021-05-31,116.8,117.8,109.1,113.52,38132224
2021-06-30,114.4,121.1,112.54,118.84,40189472
2021-07-31,119.08,127.36,115.18,120.84,45787646
2021-08-31,122,128.48,119.54,127.46,28669200
2021-09-30,128.2,129.2,116.48,116.88,37915268
