Date,Open,High,Low,Close,Volume
2018-03-31,27.972,32.1054,27.8278,32.1054,62251479
2018-04-30,32.2303,34.2201,29.8945,31.0336,20395369
2018-05-31,31.0192,33.0426,30.7692,32.6869,12254332
2018-06-30,32.6869,35.8398,32.0381,33.9846,19783868
2018-07-31,33.7923,37.9593,33.1819,36.6184,16905386
2018-08-31,36.7193,38.3967,36.0464,37.6373,12873428
2018-09-30,37.6325,38.1371,35.9167,36.4069,12171036
2018-10-31,36.4502,36.7529,30.6635,35.1717,20624212
2018-11-30,35.1957,37.6902,34.4989,36.7529,14806185
2018-12-31,37.4402,37.594,34.2009,35.1284,10851001
2019-01-31,35.09,35.6523,31.7641,33.0906,16228514
2019-02-28,33.0666,35.7884,32.4562,34.9303,11892433
2019-03-31,35.0333,37.882,34.9842,36.4307,10542923
2019-04-30,36.313,38.0978,35.4991,37.2838,10475820
2019-05-31,37.2642,37.9801,33.8908,34.1752,9273644
2019-06-30,34.0379,37.48,33.9104,36.3915,8602957
2019-07-31,36.6072,37.882,34.033,37.0828,11125729
2019-08-31,37.2544,37.9997,33.7339,35.0186,9084326
2019-09-30,35.1117,35.8325,34.1262,35.3961,9091554
2019-10-31,35.4402,37.3721,33.5182,37.3574,12800203
2019-11-30,37.2642,43.9326,36.8965,43.1677,13536819
2019-12-31,43.3099,43.4668,41.1476,41.9909,7901655
2020-01-31,42.3488,44.3248,40.9367,41.6575,10176995
2020-02-29,38.8921,41.14,35.92,36.655,12413337
2020-03-31,37.36,39.17,28.5,36.045,21499329
2020-04-30,35.5,41.85,34.14,40.2,13538841
2020-05-31,39.89,47.265,39.18,46.465,14115840
2020-06-30,46.5,47.03,41.615,42.65,13786375
2020-07-31,42.5,45.635,40.72,43.955,13141487
2020-08-31,43.51,44.055,37.7,38.1,17504818
2020-09-30,38.25,38.82,35.575,38.3,42877708
2020-10-31,38.66,38.88,36.155,36.855,19830265
2020-11-30,37.87,39.625,36.545,38.55,18350037
2020-12-31,38.88,42.595,38.035,41.98,19449878
2021-01-31,42.48,46.505,42.3,46.28,16409117
2021-02-28,46.64,49.985,45.045,45.83,14353712
2021-03-31,46.22,47.94,44.17,46.2,20887710
2021-04-30,46.51,49.03,46,47.48,12490650
2021-05-31,48,49.36,45.17,45.98,11599075
2021-06-30,46.13,52.56,45.18,51.68,15423460
2021-07-31,51.88,55.78,51.04,55.68,12660537
2021-08-31,55.94,61.5,55.66,58.9,11884812
2021-09-30,59.3,60.46,55.52,56.18,19516786
2021-10-31,55.3,60.34,54.22,57.46,13233344
2021-11-30,57.88,67.5,57.8,64.32,18863914
2021-12-31,64.74,67.66,62.62,65.82,14728042
2022-01-31,66.04,67.32,56.4,56.76,17548471
2022-02-28,56.88,61.44,51.2,57.48,18687617
2022-03-31,57.4,58.5,50.74,56.24,18726247
2022-04-30,56.84,57.48,51.06,51.26,14861854
2022-05-31,50.66,57.84,48.8,55.88,18231118
2022-06-30,56.16,56.62,43.2,48.49,18886430
2022-07-31,47.66,50.28,46.58,50.02,14683675
2022-08-31,50.3,52.5,45.1,48.73,15420684
2022-09-30,48.51,50.84,40.32,44.28,18061389
2022-10-31,43.96,47.15,41.42,46.58,13550604
2022-11-30,46.89,52.52,44.53,50.66,16202881
2022-12-31,51.56,51.88,45.05,46.73,9675235
2023-01-31,46.84,50.38,45.9,49.07,10959242
2023-02-28,49.3,54.78,48.41,49.38,13420948
2023-03-31,49.4,53.42,48.53,53.02,15178815
2023-04-30,53.06,58.08,52.5,56.42,12784938
2023-05-31,56.32,57.72,52.08,52.9,19651644
2023-06-30,53.54,54.14,49.89,51.86,16946731
2023-07-31,51.88,53.98,48.92,52.82,14141215
2023-08-31,52.82,52.82,45.25,46.25,14200031
2023-09-30,46.12,48.93,44.39,48,17417598
2023-10-31,47.86,48.72,45.51,46.32,14062372
2023-11-30,46.71,53.1,45.85,52.94,16767476
2023-12-31,52.8,54.32,52.02,52.6,11341599
2024-01-31,52.76,53.44,50.76,51.86,11535890
2024-02-29,53.36,56.08,51.64,55.5,14586759
2024-03-31,55.62,58.14,54.58,56.72,12319544
2024-04-30,56.56,56.56,49.74,52.1,14315883
2024-05-31,52.08,54.46,49.2,53.38,12844929
2024-06-30,53.62,55.54,52,53.8,12576942
2024-07-31,54.02,55.62,48.86,49.63,15404087
2024-08-31,49.3,52.84,47.94,52.58,11840379
2024-09-30,52.6,54.14,47.79,53.86,13461388
2024-10-31,53.94,54.16,47.31,47.97,13921020
2024-11-30,48.02,53.1,47.88,51.32,14352973
2024-12-31,51.4,54.18,50.42,51.2,10614444
2025-01-31,51.16,55.54,50.62,54.96,13533643
2025-02-28,53.86,58.48,52.86,53.76,20346529
2025-03-31,53.6,54.46,49.52,49.61,20034873
2025-04-30,50.1,50.36,41.21,47.38,24544061
2025-05-31,47.92,49.63,45.93,46.58,21628696
2025-06-30,46.01,47.74,44.92,47.06,18653433
2025-07-31,46.95,50,45.41,47.3,20301973
2025-08-31,46.8,48.3,45.29,47.31,13171470
2025-09-30,47.47,48.95,46.26,46.91,10609559
