Date,Open,High,Low,Close,Volume
2015-09-30,65.7594,67.4492,59.0683,60.5763,63511823
2015-10-31,61.2961,69.7756,59.038,69.3361,48051460
2015-11-30,68.5935,74.8072,68.5101,74.3677,42054067
2015-12-31,75.0194,75.0194,65.1987,68.1085,50223104
2016-01-31,66.7521,69.9626,60.258,69.5054,76160653
2016-02-29,69.9941,70.199,62.4508,67.3614,57238011
2016-03-31,67.4008,74.0377,67.2038,73.4228,59439008
2016-04-30,72.3193,76.4339,69.1901,71.8228,43200858
2016-05-31,72.0592,77.7896,70.8769,76.292,46632455
2016-06-30,76.1659,77.561,68.4334,72.3666,60773704
2016-07-31,72.7844,77.0014,69.1664,76.5521,36725091
2016-08-31,77.159,85.9162,75.3303,84.3791,41982269
2016-09-30,84.7338,85.9162,80.0439,82.1327,42794694
2016-10-31,82.1327,85.0885,80.5957,81.5415,32167928
2016-11-30,82.2509,87.1773,78.3335,84.0244,45484800
2016-12-31,83.7486,92.4978,82.2115,92.0643,46893869
2017-01-31,91.2367,94.9807,89.8573,91.6308,43450383
2017-02-28,96.1236,101.747,95.0478,99.7169,45594651
2017-03-31,100.407,104.264,98.4583,104.264,42934277
2017-04-30,104.589,108.324,100.326,106.862,32322315
2017-05-31,106.903,108.405,101.381,103.168,35087491
2017-06-30,103.168,105.401,97.2809,97.7275,39085534
2017-07-31,98.2553,100.488,93.0583,93.1801,42285892
2017-08-31,93.7485,95.1696,87.6989,89.1606,49258505
2017-09-30,89.3636,96.7936,89.0794,96.7936,44618447
2017-10-31,97.2403,99.4733,93.4237,99.4733,37829570
2017-11-30,100.935,102.274,91.3531,92.7335,49869875
2017-12-31,93.1801,97.8899,91.0282,94.317,42125770
2018-01-31,94.1139,102.071,92.7497,99.1972,55473968
2018-02-28,100.202,100.319,89.0983,90.8066,59826673
2018-03-31,90.4381,90.7563,83.5548,86.6866,63057403
2018-04-30,85.9665,91.1583,83.5967,88.4619,44976204
2018-05-31,88.7634,99.2642,88.7634,93.369,51270704
2018-06-30,94.0389,101.541,92.9001,94.8093,55564608
2018-07-31,93.4527,101.709,93.1848,101.123,37966203
2018-08-31,101.374,101.91,91.4095,93.7709,44705721
2018-09-30,93.5867,93.8882,90.1032,92.3976,42253633
2018-10-31,92.1464,92.9671,82.4913,85.1793,61456766
2018-11-30,84.9616,87.792,82.3657,85.7487,48247622
2018-12-31,86.9881,87.6747,79.5269,81.545,48735370
2019-01-31,81.2436,84.8109,79.6107,83.3807,52632471
2019-02-28,83.2414,85.914,79.0889,83.6854,48050603
2019-03-31,84.3557,87.0108,82.0052,83.52,46602958
2019-04-30,84.3209,93.5138,84.2599,92.9218,37292645
2019-05-31,92.7129,94.75,87.8553,88.308,48631200
2019-06-30,87.9249,93.6009,87.1588,91.0589,37338651
2019-07-31,91.8424,92.5736,85.5744,86.1751,45199070
2019-08-31,83.0499,83.4329,73.4913,79.1759,60598253
2019-09-30,78.8016,85.7311,77.8179,85.5309,41827443
2019-10-31,85.853,92.1558,81.8572,89.9968,43554719
2019-11-30,89.9968,102.967,89.9446,101.958,44785601
2019-12-31,101.958,104.378,99.1549,101.453,38996098
2020-01-31,101.331,103.507,96.996,97.1875,41056939
2020-02-29,96.9089,100.062,81.9516,84.016,59640954
2020-03-31,83.8267,85.864,52.9787,69.836,150305823
2020-04-30,67.6094,80.2208,66.1761,76.3355,74273103
2020-05-31,74.2802,91.0293,72.306,88.8208,55732700
2020-06-30,90.5065,98.6557,85.4673,94.4369,59159391
2020-07-31,93.1748,105.56,92.6159,97.646,37551518
2020-08-31,97.7182,108.77,97.7182,104.262,31389622
2020-09-30,105.29,110.88,98.836,107.88,48599599
2020-10-31,108.6,112.9,98.5,100.7,36134171
2020-11-30,101.52,119.3,100.36,112,45312640
2020-12-31,112.58,119.74,111.36,117.52,34832095
2021-01-31,118.88,133.26,116.3,127.94,39916092
2021-02-28,129.12,137.52,126.86,127.98,33161301
2021-03-31,129.26,141.92,128.26,140,38044939
2021-04-30,140,145.96,137.94,138.82,25784254
2021-05-31,139.36,145.2,130.02,132.64,34443215
2021-06-30,133.46,139.24,132.42,133.62,29036753
2021-07-31,134.86,135.74,124.96,131.58,26259226
2021-08-31,132.72,144,132.52,140.84,21945908
2021-09-30,140.56,151.86,137.74,141.92,34534969
2021-10-31,138.98,143.44,133.7,140.28,24717494
2021-11-30,140.92,156.98,140.16,141.28,34549189
2021-12-31,142.7,154.7,141.18,152.68,24906467
2022-01-31,151.82,157.96,136.18,139.88,31832388
2022-02-28,141.18,149.26,120.84,126.66,46904699
2022-03-31,125,138.08,105.92,125.66,60020403
2022-04-30,126.36,127,111.5,117.78,33666013
2022-05-31,116.2,126.46,108.14,122.44,38222746
2022-06-30,123.58,126.24,96.28,97.09,40534037
2022-07-31,95.22,108.96,93.67,108.54,35345176
2022-08-31,108.3,112.7,100.92,101.08,31055136
2022-09-30,100.32,108.82,95.07,101.2,37660208
2022-10-31,99.04,112.76,97.93,110.64,29980579
2022-11-30,111.54,134.86,106.9,131.22,36801047
2022-12-31,132.96,137.04,125.9,129.64,26765880
2023-01-31,129.84,146.36,129.34,142.9,24426419
2023-02-28,142.88,152.2,139.64,144.7,29774293
2023-03-31,145.2,151.42,134.66,149.26,35181414
2023-04-30,148.76,149.9,139.98,148.9,19773740
2023-05-31,148.92,161.02,147.1,153.34,26479101
2023-06-30,154.72,167,149.72,152.54,35415093
2023-07-31,152.8,156.32,141.46,154.98,23490753
2023-08-31,155.74,155.74,133.5,138.88,30158481
2023-09-30,138.9,140.16,129.66,135.66,29727824
2023-10-31,136.5,139.34,119.48,124.96,28579278
2023-11-30,125.02,154.3,124.08,154,30404187
2023-12-31,154.28,169.92,154.1,169.92,27755742
2024-01-31,168.92,171.06,157.78,166.68,25637157
2024-02-29,166.4,183.2,162.06,182.94,28841093
2024-03-31,184.5,186.98,170.94,176.96,27678545
2024-04-30,177,178.92,170.5,175.9,22902865
2024-05-31,175.64,188.88,170.42,176.26,27241784
2024-06-30,178.8,179.6,165.68,173.72,23092623
2024-07-31,177.6,184.9,166.1,169.42,21299590
2024-08-31,167.04,171.02,150.68,169.92,22807013
2024-09-30,169.94,185,160.24,181.34,25257241
2024-10-31,181.92,186.42,176.06,178.4,22838017
2024-11-30,179.32,195.5,173.72,183.16,28224936
2024-12-31,182.46,196.7,181.92,188.56,20721180
2025-01-31,188.46,210.05,186.2,207.45,25127105
2025-02-28,201.25,228.3,199.2,221.2,31214252
2025-03-31,221.5,244.85,208,211.9,40582695
2025-04-30,214.35,216.35,162.38,201.95,43130688
2025-05-31,206.7,226.95,204.05,211.8,26430448
2025-06-30,210.649,224.5,206.7,217.649,23191388
2025-07-31,217.35,232.1,213.75,224.9,21011339
2025-08-31,222.149,240.6,212.95,236.6,18001940
2025-09-30,238.1,239.95,223.2,227.05,14653509
